"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"
"8016"	Jan 14, 2014	Missed 1 game (shoulder injury).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	shoulder injury	FALSE	1	0	1	11	2014	1	14	2014	3	1389441600	1389700800	shoulder	upper body	TYSON BARRIE	0	89
"1505"	Apr 17, 2014	Missed the last regular season game (upper body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	upper body injury	TRUE	2	0	4	13	2014	4	17	2014	4	1397390400	1397736000	upper body	upper body	TYSON BARRIE	1	5
"1999"	Apr 30, 2014	Missed the last 4 playoff games (torn left mcl).	TYSON	BARRIE	COLORADO	AVALANCHE	4	TRUE	torn left mcl	TRUE	3	0	4	22	2014	4	30	2014	8	1398168000	1398859200	knee	leg	TYSON BARRIE	1	281
"5031"	Feb 08, 2015	Missed 2 games (hip injury).	TYSON	BARRIE	COLORADO	AVALANCHE	2	TRUE	hip injury	FALSE	4	0	2	05	2015	2	08	2015	3	1423137600	1423396800	hip	lower body	TYSON BARRIE	1	326
"7007"	Jan 02, 2016	Missed 1 game (flu).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	flu	FALSE	5	0	12	31	2015	1	02	2016	2	1451563200	1451736000	cold/virus	illness	TYSON BARRIE	1	383
"9425"	Jan 31, 2017	Missed 4 games (lower body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	4	TRUE	lower body injury	FALSE	6	0	1	19	2017	1	31	2017	12	1484827200	1485864000	lower body	lower body	TYSON BARRIE	1	4
"5393"	Feb 12, 2017	Missed 4 games (lower body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	4	TRUE	lower body injury	FALSE	7	0	2	04	2017	2	12	2017	8	1486209600	1486900800	lower body	lower body	TYSON BARRIE	1	277
"15423"	Nov 18, 2017	Missed 1 game (upper body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	upper body injury	FALSE	8	0	11	16	2017	11	18	2017	2	1510833600	1511006400	upper body	upper body	TYSON BARRIE	1	39
"9319"	Jan 30, 2018	Missed 13 games (right hand injury).	TYSON	BARRIE	COLORADO	AVALANCHE	13	TRUE	right hand injury	FALSE	9	0	12	27	2017	1	30	2018	34	1514376000	1517313600	hand	arm/hand	TYSON BARRIE	1	NA
"1898"	Apr 27, 2013	Missed the last 12 regular season games (knee injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	12	TRUE	knee injury	TRUE	10	0	4	02	2013	4	27	2013	25	1364904000	1367064000	knee	leg	GABRIEL BOURQUE	0	726
"1842"	Apr 25, 2015	Missed the last playoff game (upper body injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	0	TRUE	upper body injury	TRUE	11	0	4	23	2015	4	25	2015	2	1429790400	1429963200	upper body	upper body	GABRIEL BOURQUE	1	217
"12599"	Mar 18, 2016	Missed 50 games (undisclosed).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	50	TRUE	undisclosed	FALSE	12	0	11	28	2015	3	18	2016	111	1448712000	1458302400	undisclosed	undisclosed	GABRIEL BOURQUE	1	3
"13843"	May 12, 2016	Missed the last 60 regular season and all 14 playoff games (upper body injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	74	TRUE	upper body injury	TRUE	13	0	3	21	2016	5	12	2016	52	1458561600	1463054400	upper body	upper body	GABRIEL BOURQUE	1	534
"14405"	Nov 04, 2017	Missed 2 games (upper body injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	2	TRUE	upper body injury	FALSE	14	0	10	28	2017	11	04	2017	7	1509192000	1509796800	upper body	upper body	GABRIEL BOURQUE	1	NA
