"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"year"	"month"	"day"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"
"1"	Apr 01, 2007	Missed 11 games (groin).	BRIAN	GIONTA	BOSTON	BRUINS	2007	4	01	11	TRUE	groin	FALSE	543	0	3	08	2007	4	01	2007	2073600	1173355200	1175428800	groin	lower body	BRIAN GIONTA	1	4
"2"	Apr 01, 2008	Missed 43 games (torn ACL).	JUSTIN	WILLIAMS	CAROLINA	HURRICANES	2008	4	01	43	TRUE	torn ACL	FALSE	1532	0	12	21	2007	4	01	2008	8812800	1198238400	1207051200	knee	leg	JUSTIN WILLIAMS	1	1
"3"	Apr 01, 2010	Missed 1 game (knee injury).	JAMES	VAN RIEMSDYK	TORONTO	MAPLELEAFS	2010	4	01	1	TRUE	knee injury	FALSE	2366	0	3	28	2010	4	01	2010	345600	1269777600	1270123200	knee	leg	JAMES VAN RIEMSDYK	1	297
"4"	Apr 01, 2011	Missed 10 games (ankle injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	2011	4	01	10	TRUE	ankle injury	FALSE	437	0	3	10	2011	4	01	2011	1900800	1299758400	1301659200	ankle	foot	ALEXANDER STEEN	1	273
"5"	Apr 01, 2012	Missed 1 game (upper body injury).	MARCO	SCANDELLA	BUFFALO	SABRES	2012	4	01	1	TRUE	upper body injury	FALSE	3371	0	3	31	2012	4	01	2012	86400	1333195200	1333281600	upper body	upper body	MARCO SCANDELLA	1	675
"6"	Apr 01, 2012	Missed 2 games (leg injury).	DENNIS	SEIDENBERG	NEW YORK	ISLANDERS	2012	4	01	2	TRUE	leg injury	FALSE	1686	0	3	29	2012	4	01	2012	259200	1333022400	1333281600	leg	leg	DENNIS SEIDENBERG	1	295
"7"	Apr 01, 2012	Missed 3 games (lower body injury).	KRIS	LETANG	PITTSBURGH	PENGUINS	2012	4	01	3	TRUE	lower body injury	FALSE	2724	0	3	27	2012	4	01	2012	432000	1332849600	1333281600	lower body	lower body	KRIS LETANG	1	312
"8"	Apr 01, 2014	Missed 1 game (flu).	JASON	DEMERS	ARIZONA	COYOTES	2014	4	01	1	TRUE	flu	FALSE	990	0	3	29	2014	4	01	2014	259200	1396094400	1396353600	cold/virus	illness	JASON DEMERS	1	343
"9"	Apr 01, 2015	Missed 15 games (right finger injury).	BRETT	CONNOLLY	WASHINGTON	CAPITALS	2015	4	01	15	TRUE	right finger injury	FALSE	890	0	3	04	2015	4	01	2015	2419200	1425470400	1427889600	finger	arm/hand	BRETT CONNOLLY	1	365
"10"	Apr 01, 2015	Missed 2 games (upper body injury).	TYLER	ENNIS	MINNESOTA	WILD	2015	4	01	2	TRUE	upper body injury	FALSE	3897	0	3	28	2015	4	01	2015	345600	1427544000	1427889600	upper body	upper body	TYLER ENNIS	1	211
"11"	Apr 01, 2015	Missed 7 games (lower body injury).	NATE	PROSSER	MINNESOTA	WILD	2015	4	01	7	TRUE	lower body injury	FALSE	3961	0	3	17	2015	4	01	2015	1296000	1426593600	1427889600	lower body	lower body	NATE PROSSER	1	220
"12"	Apr 01, 2016	Missed 1 game (undisclosed).	JOSH	MANSON	ANAHEIM	DUCKS	2016	4	01	1	TRUE	undisclosed	FALSE	1197	0	3	30	2016	4	01	2016	172800	1459339200	1459512000	undisclosed	undisclosed	JOSH MANSON	1	16
"13"	Apr 01, 2016	Missed 1 game (undisclosed).	RYAN	SPOONER	NEW YORK	RANGERS	2016	4	01	1	TRUE	undisclosed	FALSE	3015	0	3	28	2016	4	01	2016	345600	1459166400	1459512000	undisclosed	undisclosed	RYAN SPOONER	1	340
"14"	Apr 01, 2016	Missed 1 game (upper body injury).	THOMAS	VANEK	COLUMBUS	BLUEJACKETS	2016	4	01	1	TRUE	upper body injury	FALSE	322	0	3	31	2016	4	01	2016	86400	1459425600	1459512000	upper body	upper body	THOMAS VANEK	1	2
"15"	Apr 01, 2016	Missed 12 games (lower body injury).	BRENDAN	GALLAGHER	MONTREAL	CANADIENS	2016	4	01	12	TRUE	lower body injury	FALSE	712	0	3	07	2016	4	01	2016	2160000	1457352000	1459512000	lower body	lower body	BRENDAN GALLAGHER	1	279
"16"	Apr 01, 2016	Missed 6 games (knee injury).	MATT	DUCHENE	OTTAWA	SENATORS	2016	4	01	6	TRUE	knee injury	FALSE	3436	0	3	18	2016	4	01	2016	1209600	1458302400	1459512000	knee	leg	MATT DUCHENE	1	225
"17"	Apr 01, 2017	Missed 1 game (illness).	NIKITA	KUCHEROV	TAMPA BAY	LIGHTNING	2017	4	01	1	TRUE	illness	FALSE	2198	0	3	30	2017	4	01	2017	172800	1490875200	1491048000	cold/virus	illness	NIKITA KUCHEROV	1	NA
"18"	Apr 01, 2017	Missed 1 game (upper body injury).	ALEXANDRE	BURROWS	OTTAWA	SENATORS	2017	4	01	1	TRUE	upper body injury	FALSE	3423	0	3	30	2017	4	01	2017	172800	1490875200	1491048000	upper body	upper body	ALEXANDRE BURROWS	1	48
"19"	Apr 01, 2017	Missed 1 game (upper body injury).	CRAIG	SMITH	NASHVILLE	PREDATORS	2017	4	01	1	TRUE	upper body injury	FALSE	2943	0	3	30	2017	4	01	2017	172800	1490875200	1491048000	upper body	upper body	CRAIG SMITH	1	19
"20"	Apr 01, 2017	Missed 1 game (upper body injury).	ZACH	PARISE	MINNESOTA	WILD	2017	4	01	1	TRUE	upper body injury	FALSE	3958	0	3	29	2017	4	01	2017	259200	1490788800	1491048000	upper body	upper body	ZACH PARISE	1	187
"21"	Apr 02, 2008	Missed 7 games (post concussion).	MATT	CULLEN	MINNESOTA	WILD	2008	4	02	7	TRUE	post concussion	FALSE	3868	0	3	16	2008	4	02	2008	1468800	1205668800	1207137600	concussion	concussion	MATT CULLEN	1	214
"22"	Apr 02, 2010	Missed 1 game (knee injury).	MARC-EDOUARD	VLASIC	SAN JOSE	SHARKS	2010	4	02	1	TRUE	knee injury	FALSE	3665	0	3	31	2010	4	02	2010	172800	1270036800	1270209600	knee	leg	MARC-EDOUARD VLASIC	1	323
"23"	Apr 02, 2011	Missed 2 games (upper body injury).	JIMMY	HOWARD	DETROIT	REDWINGS	2011	4	02	2	TRUE	upper body injury	FALSE	3178	0	3	28	2011	4	02	2011	432000	1301313600	1301745600	upper body	upper body	JIMMY HOWARD	1	308
"24"	Apr 02, 2011	Missed 65 games (knee injury).	ZACH	PARISE	MINNESOTA	WILD	2011	4	02	65	TRUE	knee injury	FALSE	3944	0	11	01	2010	4	02	2011	13132800	1288612800	1301745600	knee	leg	ZACH PARISE	1	4
