"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"year"	"month"	"day"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"	"InjuryIndicator"	"InjuryStateDate"	"YearsSince2000"
"2633"	Mar 10, 2015	Missed 1 game (flu).	AARON	EKBLAD	FLORIDA	PANTHERS	2015	3	10	1	TRUE	flu	FALSE	1	0	3	07	2015	3	10	2015	259200	1425729600	1425988800	illness	illness	AARON EKBLAD	0	307	1	1425729600	15.1890410958904
"2633.1"	Mar 10, 2015	Missed 1 game (flu).	AARON	EKBLAD	FLORIDA	PANTHERS	2015	3	10	1	TRUE	flu	FALSE	2	0	3	07	2015	3	10	2015	259200	1425729600	1425988800	NA	NA	AARON EKBLAD	0	307	2	1425988800	15.1972602739726
"2218"	Jan 20, 2016	Missed 4 games (upper body injury).	AARON	EKBLAD	FLORIDA	PANTHERS	2016	1	20	4	TRUE	upper body injury	FALSE	3	0	1	11	2016	1	20	2016	777600	1452513600	1453291200	upper body	upper body	AARON EKBLAD	1	418	1	1452513600	16.0383561643836
"2218.1"	Jan 20, 2016	Missed 4 games (upper body injury).	AARON	EKBLAD	FLORIDA	PANTHERS	2016	1	20	4	TRUE	upper body injury	FALSE	4	0	1	11	2016	1	20	2016	777600	1452513600	1453291200	NA	NA	AARON EKBLAD	1	418	2	1453291200	16.0630136986301
"2898"	Mar 21, 2017	Missed 4 games (concussion).	AARON	EKBLAD	FLORIDA	PANTHERS	2017	3	21	4	TRUE	concussion	FALSE	5	0	3	13	2017	3	21	2017	691200	1489406400	1490097600	concussion	concussion	AARON EKBLAD	1	2	1	1489406400	17.2082191780822
"2898.1"	Mar 21, 2017	Missed 4 games (concussion).	AARON	EKBLAD	FLORIDA	PANTHERS	2017	3	21	4	TRUE	concussion	FALSE	6	0	3	13	2017	3	21	2017	691200	1489406400	1490097600	NA	NA	AARON EKBLAD	1	2	2	1490097600	17.2301369863014
"271"	Apr 09, 2017	Missed the last 10 regular season games (stiff neck).	AARON	EKBLAD	FLORIDA	PANTHERS	2017	4	09	10	TRUE	stiff neck	TRUE	7	0	3	23	2017	4	09	2017	1468800	1490270400	1491739200	head/neck/face	head/neck/face	AARON EKBLAD	1	NA	1	1490270400	17.2356164383562
"271.1"	Apr 09, 2017	Missed the last 10 regular season games (stiff neck).	AARON	EKBLAD	FLORIDA	PANTHERS	2017	4	09	10	TRUE	stiff neck	TRUE	8	0	3	23	2017	4	09	2017	1468800	1490270400	1491739200	NA	NA	AARON EKBLAD	1	NA	2	1491739200	17.2821917808219
"2188"	Jan 19, 2012	Missed 2 games (strained groin).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2012	1	19	2	TRUE	strained groin	FALSE	9	0	1	14	2012	1	19	2012	432000	1326542400	1326974400	lower body	lower body	ADAM HENRIQUE	0	6	1	1326542400	12.0438356164384
"2188.1"	Jan 19, 2012	Missed 2 games (strained groin).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2012	1	19	2	TRUE	strained groin	FALSE	10	0	1	14	2012	1	19	2012	432000	1326542400	1326974400	NA	NA	ADAM HENRIQUE	0	6	2	1326974400	12.0575342465753
