Date,Injury,Firstname,Lastname,City,TeamName
"Jan 30, 2018",Missed 13 games (right hand injury).,TYSON,BARRIE,COLORADO,AVALANCHE
"Dec 27, 2017","Right hand injury, injured reserve.",TYSON,BARRIE,COLORADO,AVALANCHE
"Nov 18, 2017",Missed 1 game (upper body injury).,TYSON,BARRIE,COLORADO,AVALANCHE
"Nov 16, 2017","Upper body injury, day-to-day.",TYSON,BARRIE,COLORADO,AVALANCHE
"Feb 12, 2017",Missed 4 games (lower body injury).,TYSON,BARRIE,COLORADO,AVALANCHE
"Feb 04, 2017","Lower body injury, day-to-day.",TYSON,BARRIE,COLORADO,AVALANCHE
"Jan 31, 2017",Missed 4 games (lower body injury).,TYSON,BARRIE,COLORADO,AVALANCHE
"Jan 24, 2017","Lower body injury, injured reserve.",TYSON,BARRIE,COLORADO,AVALANCHE
"Jan 19, 2017","Lower body injury, day-to-day.",TYSON,BARRIE,COLORADO,AVALANCHE
"Jul 31, 2016",Re-signed as a restricted free agent by the Colorado Avalanche to a four-year contract.,TYSON,BARRIE,COLORADO,AVALANCHE
"Jul 05, 2016",Filed for salary arbitration.,TYSON,BARRIE,COLORADO,AVALANCHE
"Jan 02, 2016",Missed 1 game (flu).,TYSON,BARRIE,COLORADO,AVALANCHE
"Dec 31, 2015","Flu, day-to-day.",TYSON,BARRIE,COLORADO,AVALANCHE
"Oct 24, 2015",Missed 3 games (suspended by nhl).,TYSON,BARRIE,COLORADO,AVALANCHE
"Oct 17, 2015",Suspended by the NHL for 3 games.,TYSON,BARRIE,COLORADO,AVALANCHE
"Oct 17, 2015","Fined $41,935 by the NHL.",TYSON,BARRIE,COLORADO,AVALANCHE
"Feb 08, 2015",Missed 2 games (hip injury).,TYSON,BARRIE,COLORADO,AVALANCHE
"Feb 05, 2015","Hip injury, day-to-day.",TYSON,BARRIE,COLORADO,AVALANCHE
"Sep 04, 2014",Re-signed as a restricted free agent by the Colorado Avalanche to a two-year contract.,TYSON,BARRIE,COLORADO,AVALANCHE
"Jun 30, 2014",Colorado Avalanche tendered a qualifying offer.,TYSON,BARRIE,COLORADO,AVALANCHE
"Apr 30, 2014",Missed the last 4 playoff games (torn left mcl).,TYSON,BARRIE,COLORADO,AVALANCHE
"Apr 22, 2014","Torn left MCL, sidelined indefinitely.",TYSON,BARRIE,COLORADO,AVALANCHE
"Apr 17, 2014",Missed the last regular season game (upper body injury).,TYSON,BARRIE,COLORADO,AVALANCHE
"Apr 13, 2014","Upper body injury, day-to-day.",TYSON,BARRIE,COLORADO,AVALANCHE
"Jan 14, 2014",Missed 1 game (shoulder injury).,TYSON,BARRIE,COLORADO,AVALANCHE
"Jan 11, 2014","Shoulder injury, day-to-day.",TYSON,BARRIE,COLORADO,AVALANCHE
"Nov 17, 2013",Recalled from Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Nov 04, 2013",Assigned to Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Mar 26, 2013",Recalled from Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Mar 12, 2013",Assigned to Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Jan 11, 2013",Recalled from Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Feb 23, 2012",Recalled from Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Feb 17, 2012",Assigned to Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Feb 04, 2012",Recalled from Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Oct 02, 2011",Assigned to Lake Erie (AHL).,TYSON,BARRIE,COLORADO,AVALANCHE
"Mar 25, 2011",Signed by the Colorado Rockies to a three-year entry-level contract.,TYSON,BARRIE,COLORADO,AVALANCHE
"Sep 17, 2009",Returned to his junior team (Kelowna-WHL).,TYSON,BARRIE,COLORADO,AVALANCHE
