Date,Injury,Firstname,Lastname,City,TeamName
"Feb 16, 2018",Missed 3 games (upper body injury).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Feb 10, 2018","Upper body injury, day-to-day.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Apr 06, 2017",Missed 1 game (leg injury).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Apr 04, 2017","Leg injury, day-to-day.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Nov 15, 2016",Missed 4 games (groin).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Nov 06, 2016","Groin, day-to-day.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Jan 23, 2016",Missed 1 game (personal reasons).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Jan 22, 2016","Personal reasons, day-to-day.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Jul 01, 2015",Signed as an unrestricted free agent by the Colorado Avalanche to a three-year contract.,BLAKE,COMEAU,COLORADO,AVALANCHE
"Feb 11, 2015",Missed 20 games (wrist injury).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Dec 23, 2014","Wrist injury, injured reserve.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Nov 15, 2014",Missed 1 game (illness).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Nov 14, 2014","Illness, day-to-day.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Jul 01, 2014",Signed as an unrestricted free agent by the Pittsburgh Penguins to a one-year contract.,BLAKE,COMEAU,COLORADO,AVALANCHE
"Mar 16, 2014",Missed 2 games (suspended by nhl).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Mar 12, 2014",Suspended by the NHL for 2 games.,BLAKE,COMEAU,COLORADO,AVALANCHE
"Mar 08, 2014",Missed 10 games (sprained left knee).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Jan 30, 2014","Sprained left knee, day-to-day.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Jan 27, 2014",Missed 8 games (sprained left knee).,BLAKE,COMEAU,COLORADO,AVALANCHE
"Jan 10, 2014","Sprained left knee, injured reserve.",BLAKE,COMEAU,COLORADO,AVALANCHE
"Jul 02, 2013",Re-signed by the Columbus Blue Jackets to a one-year contract.,BLAKE,COMEAU,COLORADO,AVALANCHE
"Apr 03, 2013",Acquired from the Calgary Flames.,BLAKE,COMEAU,COLORADO,AVALANCHE
