Date,Injury,Firstname,Lastname,City,TeamName
"Dec 07, 2017",Missed 12 games (lower body injury).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Nov 10, 2017","Undisclosed, injured reserve.",PATRIK,NEMETH,COLORADO,AVALANCHE
"Oct 27, 2017",Missed 1 game (lower body injury).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Oct 20, 2017","Lower body injury, day-to-day.",PATRIK,NEMETH,COLORADO,AVALANCHE
"Oct 19, 2017",Missed 1 game (shoulder injury).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Oct 17, 2017","Shoulder injury, day-to-day.",PATRIK,NEMETH,COLORADO,AVALANCHE
"Oct 03, 2017",Claimed off waivers from the Dallas Stars.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Oct 02, 2017",Placed on waivers by the Dallas Stars.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Jul 01, 2017",Re-signed as a restricted free agent by the Dallas Stars to a one-year contract.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Jun 26, 2017",Dallas Stars tendered a qualifying offer.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Jan 14, 2017",Recalled from his conditioning assignment with the Texas Stars (AHL).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Jan 06, 2017",Assigned to the Texas Stars (AHL) for conditioning purposes.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Apr 09, 2016",Missed the last regular season game (flu).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Nov 11, 2015",Assigned to the Texas Stars (AHL) for conditioning purposes.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Jun 17, 2015",Re-signed by the Dallas Stars to a one-year contract.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Apr 12, 2015",Assigned to the Texas Stars (AHL).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Mar 03, 2015",Missed 58 games (arm injury).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Mar 02, 2015",Recalled from the Texas Stars (AHL).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Feb 19, 2015",Assigned to the Texas Stars (AHL) for conditioning purposes.,PATRIK,NEMETH,COLORADO,AVALANCHE
"Oct 20, 2014","Arm injury, injured reserve.",PATRIK,NEMETH,COLORADO,AVALANCHE
"Apr 30, 2014",Assigned to the Texas Stars (AHL).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Apr 27, 2014",Missed the last playoff game (upper body injury).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Apr 25, 2014","Upper body injury, day-to-day.",PATRIK,NEMETH,COLORADO,AVALANCHE
"Mar 31, 2014",Recalled from the Texas Stars (AHL).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Sep 28, 2013",Assigned to Texas (AHL).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Sep 14, 2012",Assigned to Texas (AHL).,PATRIK,NEMETH,COLORADO,AVALANCHE
"Apr 21, 2011",Signed by the Dallas Stars to a three-year entry-level contract.,PATRIK,NEMETH,COLORADO,AVALANCHE
