Date,Injury,Firstname,Lastname,City,TeamName
"Feb 01, 2018",Missed 1 game (lower body injury).,MATT,NIETO,COLORADO,AVALANCHE
"Jan 30, 2018","Lower body injury, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Nov 10, 2017",Missed 2 games (undisclosed).,MATT,NIETO,COLORADO,AVALANCHE
"Nov 04, 2017","Undisclosed, injured reserve.",MATT,NIETO,COLORADO,AVALANCHE
"Jul 25, 2017",Re-signed as a restricted free agent by the Colorado Avalanche to a one-year contract.,MATT,NIETO,COLORADO,AVALANCHE
"Jul 05, 2017",Filed for salary arbitration.,MATT,NIETO,COLORADO,AVALANCHE
"Jun 26, 2017",Colorado Avalanche tendered a qualifying offer.,MATT,NIETO,COLORADO,AVALANCHE
"Mar 18, 2017",Missed 1 game (knee injury).,MATT,NIETO,COLORADO,AVALANCHE
"Mar 15, 2017","Knee injury, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Jan 05, 2017",Claimed off waivers from the San Jose Sharks.,MATT,NIETO,COLORADO,AVALANCHE
"Jan 04, 2017",Placed on waivers by the San Jose Sharks.,MATT,NIETO,COLORADO,AVALANCHE
"Jul 15, 2016",Re-signed as a restricted free agent by the San Jose Sharks to a one-year contract.,MATT,NIETO,COLORADO,AVALANCHE
"Jun 27, 2016",San Jose Sharks tendered a qualifying offer.,MATT,NIETO,COLORADO,AVALANCHE
"May 30, 2016",Missed the last 7 playoff games (upper body injury).,MATT,NIETO,COLORADO,AVALANCHE
"May 12, 2016","Undisclosed, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Apr 12, 2016",Missed the last 12 regular season games (broken knuckle).,MATT,NIETO,COLORADO,AVALANCHE
"Mar 19, 2016","Undisclosed, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Dec 15, 2015",Missed 2 games (lower body injury).,MATT,NIETO,COLORADO,AVALANCHE
"Dec 09, 2015","Lower body injury, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Nov 25, 2015",Missed 1 game (undisclosed).,MATT,NIETO,COLORADO,AVALANCHE
"Nov 22, 2015","Undisclosed, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Dec 30, 2014",Missed 9 games (lower body injury).,MATT,NIETO,COLORADO,AVALANCHE
"Dec 11, 2014","Lower body injury, injured reserve.",MATT,NIETO,COLORADO,AVALANCHE
"Dec 06, 2014","Lower body injury, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Apr 17, 2014",Recalled from the Ontario Reign (ECHL).,MATT,NIETO,COLORADO,AVALANCHE
"Apr 12, 2014",Re-assigned to the Ontario Reign (ECHL).,MATT,NIETO,COLORADO,AVALANCHE
"Apr 11, 2014",Re-assigned to the San Francisco Bulls (ECHL).,MATT,NIETO,COLORADO,AVALANCHE
"Feb 27, 2014",Missed 1 game (bruised foot).,MATT,NIETO,COLORADO,AVALANCHE
"Feb 06, 2014","Bruised foot, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Dec 20, 2013",Recalled from the San Francisco Bulls (ECHL).,MATT,NIETO,COLORADO,AVALANCHE
"Dec 18, 2013",Assigned to the San Francisco Bulls (ECHL).,MATT,NIETO,COLORADO,AVALANCHE
"Dec 07, 2013",Recalled from Worcester (AHL).,MATT,NIETO,COLORADO,AVALANCHE
"Nov 25, 2013",Assigned to Worcester (AHL).,MATT,NIETO,COLORADO,AVALANCHE
"Nov 02, 2013",Missed 2 games (hand injury).,MATT,NIETO,COLORADO,AVALANCHE
"Oct 27, 2013","Hand injury, day-to-day.",MATT,NIETO,COLORADO,AVALANCHE
"Apr 02, 2013",Signed by the San Jose Sharks to a three-year entry-level contract.,MATT,NIETO,COLORADO,AVALANCHE
