Date,Injury,Firstname,Lastname,City,TeamName
"Nov 16, 2017",Missed 2 games (personal reasons).,CARL,SODERBERG,COLORADO,AVALANCHE
"Nov 10, 2017","Personal reasons, day-to-day.",CARL,SODERBERG,COLORADO,AVALANCHE
"Jun 26, 2015",Re-signed by the Colorado Avalanche to a five-year contract.,CARL,SODERBERG,COLORADO,AVALANCHE
"Jun 25, 2015",Acquired from the Boston Bruins.,CARL,SODERBERG,COLORADO,AVALANCHE
"Apr 05, 2014",Missed 1 game (personal reasons).,CARL,SODERBERG,COLORADO,AVALANCHE
"Apr 03, 2014","Personal reasons, day-to-day.",CARL,SODERBERG,COLORADO,AVALANCHE
"Jan 02, 2014",Missed 2 games (upper body injury).,CARL,SODERBERG,COLORADO,AVALANCHE
"Dec 28, 2013","Upper body injury, day-to-day.",CARL,SODERBERG,COLORADO,AVALANCHE
"Oct 19, 2013",Missed 6 games (ankle injury).,CARL,SODERBERG,COLORADO,AVALANCHE
"Oct 01, 2013","Ankle injury, injured reserve.",CARL,SODERBERG,COLORADO,AVALANCHE
"Apr 13, 2013",Signed by the Boston Bruins to a three-year entry-level contract.,CARL,SODERBERG,COLORADO,AVALANCHE
"Oct 07, 2008",Returned to IF Malmo Redhawks (Sweden-2).,CARL,SODERBERG,COLORADO,AVALANCHE
"Jul 23, 2007",Acquired from the St. Louis Blues.,CARL,SODERBERG,COLORADO,AVALANCHE
"Sep 24, 2006",Assigned to Peoria (AHL).,CARL,SODERBERG,COLORADO,AVALANCHE
"Jun 01, 2006",Signed by the St. Louis Blues.,CARL,SODERBERG,COLORADO,AVALANCHE
