Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Feb 26, 2018",Recalled from the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Jan 29, 2018",Recalled from the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Jan 25, 2018",Assigned to the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Jan 16, 2018",Recalled from the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Dec 04, 2017",Assigned to the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Nov 17, 2017",Recalled from the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Sep 26, 2017",Assigned to the San Antonio Rampage (AHL).,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Aug 16, 2017",Signed by the Colorado Avalanche to a two-year entry-level contract.,DOMINIC,TONINATO,COLORADO,AVALANCHE
"Aug 15, 2017","Unsigned 2012 draft pick, now an unrestricted free agent.",DOMINIC,TONINATO,COLORADO,AVALANCHE
