Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Rockford IceHogs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Feb 26, 2018",Recalled from the Rockford IceHogs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Feb 15, 2018",Recalled from the Rockford IceHogs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Dec 08, 2017",Assigned to the Rockford IceHogs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Dec 01, 2017",Recalled from the Rockford IceHogs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Oct 03, 2017",Assigned to the Rockford IceHogs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Oct 02, 2017",Placed on waivers by the Chicago Blackhawks.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jul 01, 2017",Signed as an unrestricted free agent by the Chicago Blackhawks to a two-year contract.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the New York Islanders in the NHL Expansion Draft.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jul 05, 2016",Re-signed as a restricted free agent by the New York Islanders to a one-year contract.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Apr 14, 2016",Missed the last 5 regular season games (lower body injury).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Apr 04, 2016","Lower body injury, day-to-day.",J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Feb 01, 2016",Recalled from his conditioning assignment with the Bridgeport Sound Tigers (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jan 22, 2016",Missed 22 games (lower body injury).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jan 19, 2016",Assigned to the Bridgeport Sound Tigers (AHL) for conditioning purposes.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Nov 28, 2015","Lower body injury, injured reserve.",J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Nov 24, 2015",Assigned to the Bridgeport Sound Tigers (AHL) for conditioning purposes.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Oct 06, 2015",Claimed off waivers from the Los Angeles Kings.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jan 22, 2015",Assigned to the Manchester Monarchs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jan 17, 2015",Recalled from the Manchester Monarchs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Oct 05, 2014",Assigned to the Manchester Monarchs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jul 15, 2014",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jun 30, 2014",Los Angeles Kings tendered a qualifying offer.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"May 04, 2014",Recalled from the Manchester Monarchs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Feb 24, 2014",Assigned to the Manchester Monarchs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Feb 07, 2014",Recalled from the Manchester Monarchs (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Sep 21, 2013",Assigned to Manchester (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"May 04, 2013",Recalled from Ontario (ECHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Mar 25, 2013",Re-assigned to Ontario (ECHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Feb 06, 2013",Re-assigned to Manchester (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jan 17, 2013",Re-assigned to Ontario (ECHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Jan 06, 2013",Re-assigned to Manchester (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Oct 11, 2012",Re-assigned to Ontario Reign (ECHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Sep 14, 2012",Assigned to Manchester (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Sep 26, 2011",Assigned to Manchester (AHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"May 24, 2011",Signed by the Los Angeles Kings to a three-year entry-level contract.,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Sep 24, 2010",Returned to his junior team (Montreal-QMJHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
"Sep 16, 2009",Returned to his junior team (Montreal-QMJHL).,J.F.,BERUBE,CHICAGO,BLACKHAWKS
