Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Rockford IceHogs (AHL).,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"Feb 26, 2018",Recalled from the Rockford IceHogs (AHL).,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"Feb 09, 2018",Recalled from the Rockford IceHogs (AHL).,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"Sep 21, 2017",Assigned to the Rockford IceHogs (AHL).,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"Oct 01, 2016",Assigned to the Rockford IceHogs (AHL).,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"Apr 14, 2016",Signed by the Chicago Blackhawks to a three-year entry-level contract.,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"Apr 04, 2016",Signed with the Rockford IceHogs (AHL) to an amateur try-out contract.,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"May 14, 2015",Released by the Rockford IceHogs (AHL) from amateur try-out contract.,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"May 14, 2015",Re-assigned to the Linkopings HC (Swe).,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
"Apr 09, 2015",Signed with the Rockford IceHogs (AHL) to an amateur try-out contract.,CARL,DAHLSTROM,CHICAGO,BLACKHAWKS
