Date,Injury,Firstname,Lastname,City,TeamName
"Dec 08, 2017",Recalled from the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Oct 02, 2017",Assigned to the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Mar 30, 2017",Recalled from the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Feb 24, 2017",Assigned to the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Feb 19, 2017",Recalled from the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Feb 12, 2017",Assigned to the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Nov 19, 2016",Missed 1 game (upper body injury).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Nov 18, 2016","Upper body injury, day-to-day.",VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Feb 22, 2016",Assigned to the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Feb 14, 2016",Recalled from the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Oct 27, 2015",Assigned to the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Oct 16, 2015",Recalled from the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Oct 02, 2015",Assigned to the Rockford IceHogs (AHL).,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
"Mar 21, 2015",Signed by the Chicago Blackhawks to a three-year entry-level contract.,VINNIE,HINOSTROZA,CHICAGO,BLACKHAWKS
