Date,Injury,Firstname,Lastname,City,TeamName
"Jan 08, 2018",Recalled from the Rockford IceHogs (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Oct 03, 2017",Assigned to the Rockford IceHogs (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Oct 02, 2017",Placed on waivers by the Chicago Blackhawks.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jun 26, 2017",Chicago Blackhawks tendered a qualifying offer.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jun 26, 2017",Re-signed by the Chicago Blackhawks to a one-year contract.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Feb 24, 2017",Acquired from the Detroit Red Wings.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Nov 28, 2016",Recalled from his conditioning assignment with the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Nov 28, 2016",Missed 22 games (back injury).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Nov 22, 2016",Assigned to the Grand Rapids Griffins (AHL) for conditioning purposes.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Oct 08, 2016","Back injury, injured reserve.",TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jan 06, 2016",Missed 2 games (upper body injury).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jan 02, 2016","Upper body injury, day-to-day.",TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Nov 17, 2015",Assigned to the Grand Rapids Griffins (AHL) for conditioning purposes.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jul 24, 2015",Re-signed as a restricted free agent by the Detroit Red Wings to a two-year contract.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Apr 11, 2015",Missed 5 games (upper body injury).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Apr 02, 2015","Upper body injury, day-to-day.",TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Mar 15, 2015",Missed 1 game (facial injury).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Mar 14, 2015","Facial injury, day-to-day.",TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Mar 02, 2015",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Mar 02, 2015",Recalled from the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jan 28, 2015",Missed 8 games (back injury).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jan 07, 2015","Back injury, day-to-day.",TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Apr 27, 2014",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Mar 26, 2014",Missed 7 games (rib injury).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Mar 12, 2014","Rib injury, day-to-day.",TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Feb 22, 2014",Recalled from the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Feb 10, 2014",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Jan 14, 2014",Recalled from the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Dec 31, 2013",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Dec 14, 2013",Recalled from Grand Rapids (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Sep 29, 2013",Assigned to Grand Rapids (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Sep 26, 2013",Recalled from Grand Rapids (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Sep 22, 2013",Assigned to Grand Rapids (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Sep 14, 2012",Assigned to Grand Rapids (AHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Aug 06, 2012",Signed by the Detroit Red Wings to a three-year entry-level contract.,TOMAS,JURCO,CHICAGO,BLACKHAWKS
"Sep 23, 2011",Returned to his junior team (Saint John-QMJHL).,TOMAS,JURCO,CHICAGO,BLACKHAWKS
