Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the Chicago Blackhawks to a two-year contract.,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Apr 20, 2017",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Feb 19, 2017",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Feb 09, 2017",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Feb 05, 2017",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Feb 04, 2017",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Jan 17, 2017",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Jan 15, 2017",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Jan 06, 2017",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Jan 05, 2017",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Jan 01, 2017",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Dec 30, 2016",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Oct 05, 2016",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Jun 20, 2016",Re-signed by the Edmonton Oilers to a one-year contract.,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Apr 11, 2016",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Mar 09, 2016",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Feb 29, 2016",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Feb 21, 2016",Recalled from the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Sep 27, 2015",Assigned to the Bakersfield Condors (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Mar 10, 2015",Assigned to the Oklahoma City Barons (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Mar 02, 2015",Assigned to the Oklahoma City Barons (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Mar 02, 2015",Recalled from the Oklahoma City Barons (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Feb 20, 2015",Recalled from the Oklahoma City Barons (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Sep 30, 2014",Assigned to the Oklahoma City Barons (AHL).,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
"Mar 31, 2014",Signed by the Edmonton Oilers to a two-year entry-level contract.,JORDAN,OESTERLE,CHICAGO,BLACKHAWKS
