Date,Injury,Firstname,Lastname,City,TeamName
"Dec 13, 2016",Missed 9 games (upper body injury).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Dec 02, 2016","Upper body injury, injured reserve.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Nov 25, 2016","Upper body injury, day-to-day.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Feb 02, 2016",Missed 1 game (suspended by nhl).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jan 28, 2016",Suspended by the NHL for 1 game.,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jan 28, 2016","Fined $56,451 by the NHL.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jul 09, 2014",Signed by the Chicago Blackhawks to an eight-year contract extension.,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Apr 17, 2014",Missed the last 6 regular season games (upper body injury).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Apr 02, 2014","Upper body injury, day-to-day.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Apr 12, 2012",Missed the last 22 regular season games (concussion).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Feb 21, 2012","Concussion, day-to-day.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jan 31, 2012",Missed 1 game (upper body injury).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jan 24, 2012","Upper body injury, injured reserve.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jan 03, 2011",Missed 2 games (upper body injury).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Dec 30, 2010","Upper body injury, day-to-day.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Dec 03, 2009",Signed by the Chicago Blackhawks to a 5-year contract extension.,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Nov 09, 2009",Missed 6 games (concussion).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Oct 24, 2009","Concussion, day-to-day.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Feb 10, 2008",Missed 16 games (sprained knee).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jan 30, 2008","Sprained knee, mid-February.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Jan 03, 2008","Sprained knee, sidelined indefinitely.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Oct 10, 2007",Missed 2 games (broken finger).,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"Sep 21, 2007","Broken finger, day-to-day.",JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
"May 16, 2007",Signed by the Chicago Blackhawks to a three-year entry-level contract.,JONATHAN,TOEWS,CHICAGO,BLACKHAWKS
