Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018","Sprained knee, sidelined indefinitely.",JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Oct 08, 2017",Recalled from his conditioning assignment with the Cleveland Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Oct 05, 2017",Assigned to the Cleveland Monsters (AHL) for conditioning purposes.,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Oct 02, 2017",Re-signed as a restricted free agent by the Columbus Blue Jackets to a three-year contract.,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Jun 26, 2017",Columbus Blue Jackets tendered a qualifying offer.,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Mar 13, 2017",Missed 3 games (lower body injury).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Mar 06, 2017","Lower body injury, day-to-day.",JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Feb 07, 2017",Missed 1 game (flu).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Feb 04, 2017","Flu, day-to-day.",JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Apr 08, 2016",Assigned to the Lake Erie Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Apr 05, 2016",Recalled from the Lake Erie Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Jan 24, 2016",Assigned to the Lake Erie Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Jan 06, 2016",Recalled from the Lake Erie Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Nov 24, 2015",Assigned to the Lake Erie Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Nov 18, 2015",Recalled from the Lake Erie Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Oct 23, 2015",Assigned to the Lake Erie Monsters (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Oct 23, 2015",Missed 8 games (eye injury).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Oct 06, 2015","Eye injury, injured reserve.",JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Jan 30, 2015",Assigned to the Springfield Falcons (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Jan 26, 2015",Recalled from the Springfield Falcons (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Jan 22, 2015",Assigned to the Springfield Falcons (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Jan 15, 2015",Recalled from the Springfield Falcons (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Sep 29, 2014",Assigned to the Springfield Falcons (AHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Nov 05, 2013",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
"Sep 18, 2013",Returned to his junior team (London-OHL).,JOSH,ANDERSON,COLUMBUS,BLUEJACKETS
