Date,Injury,Firstname,Lastname,City,TeamName
"Jan 30, 2018",Missed 18 games (fractured orbital bone).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Dec 13, 2017","Fractured orbital bone, injured reserve.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 12, 2016",Missed 2 games (undisclosed).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 09, 2016","Undisclosed, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 28, 2015",Suspended by the NHL for 1 game.,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 28, 2015","Fined $31,451 by the NHL.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 28, 2015",Missed 1 game (suspended by nhl).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 24, 2015",Missed 6 games (upper body injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 17, 2015","Upper body injury, injured reserve.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 13, 2015","Upper body injury, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 27, 2015",Missed 4 games (upper body injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 18, 2015","Upper body injury, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 15, 2015",Missed 2 games (illness).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 12, 2015","Illness, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 05, 2015",Missed 3 games (concussion).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Feb 28, 2015","Upper body injury, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Dec 09, 2014",Missed 26 games (lower body injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Oct 07, 2014","Lower body injury, injured reserve.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Jul 11, 2014",Signed by the Columbus Blue Jackets to a six-year contract extension.,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Dec 02, 2013",Missed 6 games (bruised foot).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 25, 2013","Bruised foot, injured reserve.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 20, 2013","Bruised foot, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Apr 12, 2013",Missed 2 games (flu).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Apr 07, 2013","Flu, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Apr 03, 2013",Missed 6 games (lower body injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 28, 2013","Lower body injury, injured reserve.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 22, 2013","Lower body injury, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 12, 2013",Missed 11 games (knee injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Feb 20, 2013","Knee injury, injured reserve.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Feb 18, 2013","Knee injury, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Feb 06, 2013","Fined $10,000 by the NHL.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Oct 01, 2012",Signed by the Alaska Aces (ECHL).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Jul 23, 2012",Acquired from the New York Rangers.,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"May 23, 2012",Missed the last 11 playoff games (leg injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Apr 28, 2012","Leg injury, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 11, 2012",Missed 1 game (sinus).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 08, 2012","Sinus, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Jan 17, 2012",Missed 3 games (shoulder injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Jan 12, 2012","Shoulder injury, day-to-day.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Jul 21, 2011",Re-signed as a restricted free agent by the New York Rangers to a four-year contract.,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Feb 01, 2011",Missed 5 games (left leg injury).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Jan 22, 2011","Left leg injury, injured reserve.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Jan 19, 2011","Left leg injury, sidelined indefinitely.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Dec 14, 2009",Missed 13 games (broken right hand).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Nov 09, 2009","Broken right hand, late December.",BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Sep 19, 2009",Re-signed as a restricted free agent by the New York Rangers.,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"May 01, 2007",Recalled from Hartford (AHL).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 20, 2007",Assigned to Hartford (AHL).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Mar 06, 2007",Recalled from Hartford (AHL).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Sep 30, 2006",Assigned to Hartford (AHL).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Apr 20, 2006",Signed by the New York Rangers.,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Apr 19, 2006",Signed by the Hartford Wolf Pack (AHL) to an amateur tryout contract.,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
"Sep 18, 2005",Returned to his junior team (Portland-WHL).,BRANDON,DUBINSKY,COLUMBUS,BLUEJACKETS
