Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018",Missed 4 games (lower body injury).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Feb 21, 2018","Lower body injury, injured reserve.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Feb 19, 2018","Lower body injury, sidelined indefinitely.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Apr 20, 2017","Lower body injury, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Apr 20, 2017",Missed the last playoff game (lower body injury).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 16, 2017",Missed 1 game (illness).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 13, 2017","Illness, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Dec 13, 2016",Missed 2 games (illness).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Dec 09, 2016","Illness, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 24, 2016",Missed 1 game (illness).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 22, 2016","Illness, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jan 22, 2016",Missed 6 games (upper body injury).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jan 09, 2016","Upper body injury, injured reserve.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Dec 29, 2015",Missed 3 games (undisclosed).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Dec 21, 2015","Undisclosed, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 12, 2015",Missed 1 game (illness).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 10, 2015","Illness, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Feb 19, 2015",Missed 1 game (lower body injury).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Feb 17, 2015","Lower body injury, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Dec 31, 2014",Signed by the Columbus Blue Jackets to a six-year contract extension.,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Oct 31, 2014",Missed 1 game (upper body injury).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Oct 28, 2014","Upper body injury, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Apr 21, 2014",Missed the last 6 regular season and first 2 playoff games (lower body injury).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Apr 04, 2014","Lower body injury, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Nov 14, 2013",Missed 2 games (personal reasons).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Nov 09, 2013","Personal reasons, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Nov 07, 2013",Missed 1 game (personal reasons).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Nov 05, 2013","Personal reasons, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Oct 20, 2013",Missed 3 games (personal reasons).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Oct 15, 2013","Personal reasons, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Apr 03, 2013",Missed 3 games (upper body injury).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 31, 2013","Upper body injury, injured reserve.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 28, 2013","Undisclosed, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jul 06, 2012",Re-signed as a restricted free agent by the Columbus Blue Jackets to a three-year contract.,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jul 01, 2012",Acquired from the Ottawa Senators.,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jul 21, 2010",Re-signed as a restricted free agent by the Ottawa Senators to a two-year contract.,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 16, 2010",Missed 13 games (broken right leg).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jan 31, 2010","Broken right leg, late March.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Dec 30, 2009",Missed 7 games (arthroscopic knee surgery).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Dec 16, 2009","Arthroscopic knee surgery, day-to-day.",NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Apr 04, 2008",Recalled from Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 20, 2008",Assigned to Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Feb 23, 2008",Recalled from Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Feb 12, 2008",Assigned to Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jan 29, 2008",Recalled from Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Jan 03, 2008",Assigned to Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Nov 27, 2007",Recalled from Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Nov 14, 2007",Assigned to Binghamton (AHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Mar 21, 2007",Signed by the Ottawa Senators.,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
"Sep 26, 2006",Returned to his junior team (Sudbury-OHL).,NICK,FOLIGNO,COLUMBUS,BLUEJACKETS
