Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Feb 25, 2018",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Feb 24, 2018",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Feb 23, 2018",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Feb 02, 2018",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Jan 31, 2018",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Jan 29, 2018",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Jan 26, 2018",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Jan 20, 2018",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Jan 19, 2018",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Dec 01, 2017",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Nov 28, 2017",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Nov 26, 2017",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Nov 25, 2017",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Oct 23, 2017",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Oct 20, 2017",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Apr 16, 2017",Recalled from the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Mar 21, 2017",Signed by the Columbus Blue Jackets to a two-year contract extension.,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Mar 01, 2017",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Feb 24, 2017",Recalled from the Cleveland Monsters (AHL) on an emergency basis.,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Feb 05, 2017",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Feb 04, 2017",Recalled from the Cleveland Monsters (AHL) on an emergency basis.,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
"Jan 27, 2017",Assigned to the Cleveland Monsters (AHL).,MARKUS,HANNIKAINEN,COLUMBUS,BLUEJACKETS
