Date,Injury,Firstname,Lastname,City,TeamName
"Apr 09, 2016",Missed the last 20 regular season games (upper body injury).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Feb 26, 2016","Upper body injury, injured reserve.",JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Dec 21, 2015",Missed 2 games (upper body injury).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Dec 17, 2015","Upper body injury, day-to-day.",JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Nov 11, 2014",Missed 3 games (suspended by nhl).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Nov 05, 2014",Suspended by the NHL for 3 games.,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Mar 05, 2013",Missed 4 games (upper body injury).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Feb 24, 2013","Upper body injury, injured reserve.",JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Feb 23, 2012",Acquired from the Los Angeles Kings.,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Jan 09, 2011",Signed by the Los Angeles Kings to a seven-year contract extension.,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Jan 31, 2010",Missed 1 game (arm injury).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Jan 30, 2010","Arm injury, day-to-day.",JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Dec 26, 2009",Missed 1 game (ankle injury).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Dec 16, 2009","Ankle injury, late December.",JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Jul 17, 2009",Re-signed by the Los Angeles Kings to a two-year contract.,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Jun 30, 2009",Los Angeles Kings tendered a qualifying offer.,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Jan 17, 2009",Missed 41 games (shoulder injury).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Oct 13, 2008","Shoulder injury, early January.",JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Apr 05, 2008",Missed the last 7 games of the regular season (fractured right foot).,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Mar 22, 2008","Fractured right foot, remainder of the regular season.",JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Mar 26, 2007",Signed by the Los Angeles Kings to a three-year entry-level contract.,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
"Sep 29, 2006",Acquired from the Carolina Hurricanes.,JACK,JOHNSON,COLUMBUS,BLUEJACKETS
