Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Feb 16, 2018",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Feb 16, 2018",Missed 13 games (oblique).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Jan 17, 2018","Oblique, injured reserve.",SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Jan 11, 2018","Upper body injury, day-to-day.",SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Dec 26, 2017",Recalled from the Cleveland Monsters (AHL) on an emergency basis.,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Dec 22, 2017",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Dec 17, 2017",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Dec 10, 2017",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Dec 09, 2017",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Dec 03, 2017",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Nov 19, 2017",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Nov 17, 2017",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Apr 15, 2017",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Apr 10, 2017",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Apr 09, 2017",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Apr 05, 2017",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Apr 03, 2017",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Nov 11, 2016",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Nov 04, 2016",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 29, 2016",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 22, 2016",Recalled from the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 07, 2016",Assigned to the Cleveland Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Apr 05, 2016",Assigned to the Lake Erie Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Mar 30, 2016",Recalled from the Lake Erie Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 03, 2015",Assigned to the Lake Erie Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 02, 2015",Recalled from the Lake Erie Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Sep 25, 2015",Assigned to the Lake Erie Monsters (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Mar 23, 2015",Re-assigned to the Springfield Falcons (AHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 24, 2014",Missed 6 games (facial injury).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 24, 2014",Returned to his junior team (Plymouth Whalers-OHL).,SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Oct 05, 2014","Facial injury, injured reserve.",SONNY,MILANO,COLUMBUS,BLUEJACKETS
"Sep 11, 2014",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,SONNY,MILANO,COLUMBUS,BLUEJACKETS
