Date,Injury,Firstname,Lastname,City,TeamName
"Feb 19, 2018",Recalled from his conditioning assignment with the Cleveland Monsters (AHL).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Feb 17, 2018",Assigned to the Cleveland Monsters (AHL) for conditioning purposes.,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Feb 17, 2018",Missed 34 games (upper body injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Dec 02, 2017","Upper body injury, injured reserve.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Nov 28, 2017","Upper body injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Apr 20, 2017",Missed the last 15 regular season and all 5 playoff games (broken hand).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Mar 12, 2017","Broken hand, remainder of the regular season.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Mar 11, 2017",Missed 2 games (lower body injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Mar 07, 2017","Lower body injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Nov 01, 2016",Missed 4 games (upper body injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Oct 22, 2016","Upper body injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Oct 21, 2016",Missed 1 game (lower body injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Oct 15, 2016","Lower body injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Feb 11, 2016",Signed by the Columbus Blue Jackets to a two-year contract extension.,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Apr 08, 2015",Missed 9 games (lower body injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Mar 19, 2015","Lower body injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Mar 12, 2015",Missed 16 games (ankle injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Feb 09, 2015","Ankle injury, injured reserve.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Feb 07, 2015","Lower body injury, sidelined indefinitely.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Jan 30, 2015",Missed 36 games (knee injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Nov 06, 2014","Knee injury, injured reserve.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Nov 04, 2014","Knee injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Oct 26, 2014",Missed 7 games (knee injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Oct 05, 2014","Undisclosed, injured reserve.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Apr 26, 2014",Missed the last playoff game (undisclosed).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Apr 23, 2014","Undisclosed, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Apr 16, 2014",Missed the last regular season game (knee injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Apr 12, 2014","Knee injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Apr 04, 2014",Missed 15 games (lower body injury).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Mar 04, 2014","Lower body injury, day-to-day.",RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Sep 13, 2012",Returned to his junior team (Everett-WHL).,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
"Jul 24, 2012",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,RYAN,MURRAY,COLUMBUS,BLUEJACKETS
