Date,Injury,Firstname,Lastname,City,TeamName
"Jan 08, 2018","Fined $5,000 by the NHL.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Feb 11, 2017",Missed 5 games (undisclosed).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 31, 2017","Undisclosed, day-to-day.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 26, 2017",Missed 3 games (undisclosed).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 20, 2017","Undisclosed, day-to-day.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Feb 12, 2016",Missed 11 games (upper body injury).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 22, 2016","Upper body injury, injured reserve.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 15, 2016","Upper body injury, sidelined indefinitely.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 02, 2016",Missed 6 games (lower body injury).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Dec 19, 2015","Lower body injury, injured reserve.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Dec 17, 2015","Lower body injury, day-to-day.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Sep 08, 2015",Signed by the Columbus Blue Jackets to a five-year contract extension.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jul 05, 2014",Re-signed as a restricted free agent by the Columbus Blue Jackets to a two-year contract.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jun 30, 2014",Columbus Blue Jackets tendered a qualifying offer.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Feb 01, 2014",Missed 4 games (illness).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 25, 2014","Illness, day-to-day.",DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jul 15, 2013",Re-signed as a restricted free agent by the Columbus Blue Jackets to a one-year two-way contract.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Apr 21, 2013",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Apr 18, 2013",Recalled from Springfield (AHL) on an emergency basis.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Apr 17, 2013",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Apr 16, 2013",Recalled from Springfield (AHL) on an emergency basis.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Feb 09, 2013",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 12, 2013",Recalled from Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Sep 14, 2012",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Mar 29, 2012",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Mar 19, 2012",Recalled from Springfield (AHL) on an emergency basis.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Feb 25, 2012",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 30, 2012",Recalled from Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jan 20, 2012",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Dec 31, 2011",Recalled from Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Oct 28, 2011",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Oct 27, 2011",Recalled from Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Oct 26, 2011",Assigned to Springfield (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Oct 02, 2010",Assigned to Syracuse (AHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Jun 03, 2010",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
"Sep 15, 2009",Returned to his junior team (Moncton-QMJHL).,DAVID,SAVARD,COLUMBUS,BLUEJACKETS
