Date,Injury,Firstname,Lastname,City,TeamName
"Nov 21, 2017",Missed 13 games (ankle injury).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Oct 23, 2017","Ankle injury, injured reserve.",LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Apr 18, 2017",Missed the last 5 regular season and first 3 playoff games (upper body injury).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Apr 02, 2017","Upper body injury, day-to-day.",LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Mar 21, 2017",Signed by the Columbus Blue Jackets to a two-year contract extension.,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Mar 16, 2017",Missed 11 games (lower body injury).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Feb 24, 2017","Lower body injury, injured reserve.",LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Feb 18, 2017","Lower body injury, day-to-day.",LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"May 25, 2016",Signed by the Columbus Blue Jackets to a one-year contract extension.,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Oct 03, 2015",Assigned to the Lake Erie Monsters (AHL).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Oct 02, 2015",Recalled from the Lake Erie Monsters (AHL).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Sep 25, 2015",Assigned to the Lake Erie Monsters (AHL).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Sep 26, 2014",Assigned to the Springfield Falcons (AHL).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Sep 19, 2013",Assigned to Springfield (AHL).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Apr 18, 2013",Re-assigned to Springfield (AHL).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Apr 10, 2013",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
"Sep 21, 2011",Returned to his junior team (Chicoutimi-QMJHL).,LUKAS,SEDLAK,COLUMBUS,BLUEJACKETS
