Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Vancouver Canucks.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Sep 01, 2017",Signed as an unrestricted free agent by the Vancouver Canucks to a one-year contract.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Mar 01, 2017",Acquired from the Detroit Red Wings.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Feb 15, 2017",Missed 1 game (ankle injury).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Feb 12, 2017","Ankle injury, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Jan 25, 2017",Missed 1 game (lower body injury).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Jan 23, 2017","Lower body injury, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Nov 20, 2016",Missed 11 games (hip injury).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Nov 07, 2016","Hip injury, injured reserve.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Nov 06, 2016","Hip injury, sidelined indefinitely.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Oct 27, 2016","Groin, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Jul 01, 2016",Signed as an unrestricted free agent by the Detroit Red Wings to a one-year contract.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Jun 24, 2016",Contract bought out by the Minnesota Wild.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Apr 24, 2016",Missed the last 3 regular season and all 6 playoff games (upper body injury).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Apr 03, 2016","Upper body injury, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Apr 01, 2016",Missed 1 game (upper body injury).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Mar 31, 2016","Upper body injury, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Apr 11, 2015",Missed 1 game (general soreness).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Apr 09, 2015","General soreness, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Mar 08, 2015",Missed 1 game (illness).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Mar 06, 2015","Illness, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Jul 01, 2014",Signed as an unrestricted free agent by the Minnesota Wild to a three-year contract.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Mar 05, 2014",Acquired from the New York Islanders.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Nov 22, 2013",Missed 5 games (upper body injury).,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Nov 10, 2013","Upper body injury, day-to-day.",THOMAS,VANEK,COLUMBUS,BLUEJACKETS
"Oct 27, 2013",Acquired from the Buffalo Sabres.,THOMAS,VANEK,COLUMBUS,BLUEJACKETS
