Date,Injury,Firstname,Lastname,City,TeamName
"Mar 02, 2018","Upper body injury, day-to-day.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Jan 10, 2018",Missed 8 games (back injury).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Dec 26, 2017","Back injury, injured reserve.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Dec 23, 2017","Undisclosed, sidelined indefinitely.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Nov 28, 2017",Missed 6 games (upper body injury).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Nov 14, 2017","Upper body injury, day-to-day.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Sep 01, 2017",Re-signed as a restricted free agent by the Columbus Blue Jackets to a six-year contract.,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Jun 26, 2017",Columbus Blue Jackets tendered a qualifying offer.,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 22, 2017",Missed 1 game (stiff neck).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 19, 2017","Stiff neck, day-to-day.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Oct 12, 2016",Recalled from the Cleveland Monsters (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Oct 11, 2016",Assigned to the Cleveland Monsters (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 22, 2016",Missed 1 game (lower body injury).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 20, 2016","Undisclosed, day-to-day.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Nov 24, 2015",Missed 6 games (lower body injury).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Nov 11, 2015","Lower body injury, injured reserve.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Nov 05, 2015",Missed 1 game (lower body injury).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Nov 03, 2015","Lower body injury, day-to-day.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Oct 20, 2015",Missed 5 games (concussion).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Oct 16, 2015","Concussion, injured reserve.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Oct 10, 2015","Concussion, sidelined indefinitely.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 31, 2015",Missed 4 games (hand infection).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 20, 2015","Hand infection, day-to-day.",ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 02, 2015",Assigned to the Springfield Falcons (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Mar 02, 2015",Recalled from the Springfield Falcons (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Dec 19, 2014",Recalled from the Springfield Falcons (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Nov 29, 2014",Assigned to the Springfield Falcons (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Oct 27, 2014",Recalled from the Springfield Falcons (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"Oct 26, 2014",Assigned to the Springfield Falcons (AHL).,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
"May 16, 2014",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,ALEXANDER,WENNBERG,COLUMBUS,BLUEJACKETS
