Date,Injury,Firstname,Lastname,City,TeamName
"Nov 29, 2017",Missed 23 games (shoulder injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Oct 02, 2017","Shoulder injury, injured reserve.",PATRIK,BERGLUND,ST,LOUISBLUES
"Feb 24, 2017",Signed by the St. Louis Blues to a five-year contract extension.,PATRIK,BERGLUND,ST,LOUISBLUES
"Jan 02, 2016",Missed 40 games (shoulder injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Oct 06, 2015","Shoulder injury, injured reserve.",PATRIK,BERGLUND,ST,LOUISBLUES
"Feb 05, 2015",Missed 3 games (upper body injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Jan 30, 2015","Upper body injury, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Oct 16, 2014",Missed 1 game (upper body injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Oct 11, 2014","Upper body injury, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Jun 26, 2014",Signed by the St. Louis Blues to a three-year contract extension.,PATRIK,BERGLUND,ST,LOUISBLUES
"Apr 21, 2014",Missed the last regular season and first 2 playoff games (sprained shoulder).,PATRIK,BERGLUND,ST,LOUISBLUES
"Apr 13, 2014","Sprained shoulder, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Nov 23, 2013",Missed 3 games (upper body injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Nov 17, 2013","Upper body injury, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Jun 25, 2013",Re-signed by the St. Louis Blues to a one-year contract.,PATRIK,BERGLUND,ST,LOUISBLUES
"Sep 18, 2012",Signed with VIK Vasteras HK (Sweden).,PATRIK,BERGLUND,ST,LOUISBLUES
"May 31, 2011",Re-signed by the St. Louis Blues to a two-year contract.,PATRIK,BERGLUND,ST,LOUISBLUES
"Mar 26, 2011",Missed 1 game (lower body injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Mar 24, 2011","Lower body injury, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Apr 11, 2010",Missed the last 3 games of the regular season (upper body injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Apr 07, 2010","Upper body injury, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Jan 21, 2010",Missed 2 games (illness).,PATRIK,BERGLUND,ST,LOUISBLUES
"Jan 20, 2010","Illness, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Mar 14, 2009",Missed 1 game (back injury).,PATRIK,BERGLUND,ST,LOUISBLUES
"Mar 12, 2009","Back injury, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Nov 29, 2008",Missed 4 games (groin).,PATRIK,BERGLUND,ST,LOUISBLUES
"Nov 21, 2008","Groin, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Oct 22, 2008",Missed 1 game (undisclosed).,PATRIK,BERGLUND,ST,LOUISBLUES
"Oct 18, 2008","Undisclosed, day-to-day.",PATRIK,BERGLUND,ST,LOUISBLUES
"Sep 25, 2007",Returned to his European team (VIK Vasteras HK-Sweden).,PATRIK,BERGLUND,ST,LOUISBLUES
"Jun 01, 2007",Signed by the St. Louis Blues to an entry-level contract.,PATRIK,BERGLUND,ST,LOUISBLUES
