Date,Injury,Firstname,Lastname,City,TeamName
"Jan 18, 2018",Missed 1 game (personal reasons).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jan 16, 2018","Personal reasons, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Dec 30, 2017",Missed 9 games (undisclosed).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Dec 15, 2017","Undisclosed, injured reserve.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Dec 12, 2017","Undisclosed, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Nov 21, 2017",Missed 21 games (fractured left ankle).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Oct 02, 2017","Fractured left ankle, injured reserve.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Jan 24, 2017",Missed 1 game (lower body injury).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jan 21, 2017","Lower body injury, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Apr 07, 2016",Missed 6 games (upper body injury).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Mar 24, 2016","Upper body injury, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Jan 18, 2016",Missed 4 games (upper body injury).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jan 09, 2016","Upper body injury, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Mar 12, 2015",Missed 2 games (flu).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Mar 07, 2015","Flu, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Dec 11, 2014",Missed 8 games (groin).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Nov 29, 2014","Lower body injury, injured reserve.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Nov 23, 2014","Lower body injury, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Aug 01, 2013",Signed by the St. Louis Blues to a five-year contract extension.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Apr 01, 2013",Acquired from the Calgary Flames.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jun 30, 2009",Signed by the Calgary Flames to a five-year contract.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jun 27, 2009",Acquired from the Florida Panthers.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jul 28, 2008",Re-signed as a restricted free agent by the Florida Panthers to a one-year contract.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jun 25, 2008",Florida Panthers tendered a qualifying offer.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Jul 28, 2006",Re-signed as a restricted free agent by the Florida Panthers to a two-year contract.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Sep 12, 2005",Re-signed as a restricted free agent by the Florida Panthers to a one-year contract.,JAY,BOUWMEESTER,ST,LOUISBLUES
"Mar 08, 2005",Re-assigned to Chicago (AHL).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Sep 16, 2004",Assigned to San Antonio (AHL).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Mar 03, 2004",Recalled from San Antonio (AHL).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Feb 29, 2004",Assigned to San Antonio (AHL).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Feb 27, 2004",Missed 18 games (fractured left foot).,JAY,BOUWMEESTER,ST,LOUISBLUES
"Feb 17, 2004","Fractured left foot, day-to-day.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Jan 19, 2004","Fractured left foot, mid-February.",JAY,BOUWMEESTER,ST,LOUISBLUES
"Oct 07, 2002",Signed by the Florida Panthers to a three-year contract.,JAY,BOUWMEESTER,ST,LOUISBLUES
