Date,Injury,Firstname,Lastname,City,TeamName
"Dec 15, 2017",Missed 5 games (lower body injury).,CARTER,HUTTON,ST,LOUISBLUES
"Dec 08, 2017","Lower body injury, injured reserve.",CARTER,HUTTON,ST,LOUISBLUES
"Dec 07, 2017","Lower body injury, day-to-day.",CARTER,HUTTON,ST,LOUISBLUES
"Oct 30, 2017",Missed 1 game (personal reasons).,CARTER,HUTTON,ST,LOUISBLUES
"Oct 28, 2017","Personal reasons, day-to-day.",CARTER,HUTTON,ST,LOUISBLUES
"Jul 01, 2016",Signed as an unrestricted free agent by the St. Louis Blues to a two-year contract.,CARTER,HUTTON,ST,LOUISBLUES
"Dec 01, 2015",Missed 1 game (lower body injury).,CARTER,HUTTON,ST,LOUISBLUES
"Nov 28, 2015","Lower body injury, day-to-day.",CARTER,HUTTON,ST,LOUISBLUES
"Nov 15, 2015",Missed 3 games (upper body injury).,CARTER,HUTTON,ST,LOUISBLUES
"Nov 09, 2015","Undisclosed, injured reserve.",CARTER,HUTTON,ST,LOUISBLUES
"Jun 02, 2014",Re-signed by the Nashville Predators to a two-year contract.,CARTER,HUTTON,ST,LOUISBLUES
"Jul 05, 2013",Signed as an unrestricted free agent by the Nashville Predators to a one-year contract.,CARTER,HUTTON,ST,LOUISBLUES
"Apr 18, 2013",Recalled from Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Sep 15, 2012",Assigned to Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Jun 18, 2012",Re-signed by the Chicago Blackhawks to a one-year contract.,CARTER,HUTTON,ST,LOUISBLUES
"Apr 16, 2012",Recalled from Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Mar 28, 2012",Assigned to Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Mar 26, 2012",Recalled from Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Mar 17, 2012",Assigned to Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Mar 16, 2012",Recalled from Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Feb 24, 2012",Signed as a free agent by the Chicago Blackhawks to a one-year contract.,CARTER,HUTTON,ST,LOUISBLUES
"Feb 24, 2012",Assigned to Rockford (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Oct 03, 2011",Signed as an unrestricted free agent by the Rockford IceHogs (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Jun 27, 2011",San Jose Sharks did not tender a qualifying offer.,CARTER,HUTTON,ST,LOUISBLUES
"Apr 14, 2011",Recalled from Worcester (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Mar 05, 2011",Assigned to Worcester (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Feb 09, 2011",Recalled from Worcester (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Feb 08, 2011",Assigned to Worcester (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Feb 05, 2011",Recalled from Worcester (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Sep 26, 2010",Assigned to Worcester (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Jun 01, 2010",Signed as a free agent by the San Jose Sharks.,CARTER,HUTTON,ST,LOUISBLUES
"Mar 30, 2010",Assigned to Adirondack (AHL).,CARTER,HUTTON,ST,LOUISBLUES
"Mar 28, 2010",Recalled from Adirondack (AHL) on an emergency basis.,CARTER,HUTTON,ST,LOUISBLUES
"Mar 20, 2010",Signed by the Adirondack Phantoms (AHL) to an amateur tryout contract.,CARTER,HUTTON,ST,LOUISBLUES
