Date,Injury,Firstname,Lastname,City,TeamName
"Jul 20, 2017",Re-signed as a restricted free agent by the St. Louis Blues to a five-year contract.,COLTON,PARAYKO,ST,LOUISBLUES
"Jul 05, 2017",Filed for salary arbitration.,COLTON,PARAYKO,ST,LOUISBLUES
"Jun 26, 2017",St. Louis Blues tendered a qualifying offer.,COLTON,PARAYKO,ST,LOUISBLUES
"Mar 13, 2017",Missed 1 game (undisclosed).,COLTON,PARAYKO,ST,LOUISBLUES
"Mar 11, 2017","Undisclosed, day-to-day.",COLTON,PARAYKO,ST,LOUISBLUES
"Jan 22, 2016",Missed 1 game (illness).,COLTON,PARAYKO,ST,LOUISBLUES
"Jan 20, 2016","Illness, day-to-day.",COLTON,PARAYKO,ST,LOUISBLUES
"Nov 21, 2015",Missed 2 games (lower body injury).,COLTON,PARAYKO,ST,LOUISBLUES
"Nov 17, 2015","Lower body injury, day-to-day.",COLTON,PARAYKO,ST,LOUISBLUES
"Mar 10, 2015",Signed by the St. Louis Blues to a two-year entry-level contract.,COLTON,PARAYKO,ST,LOUISBLUES
"Mar 10, 2015",Signed by the St. Louis Blues to a two-year entry-level contract.,COLTON,PARAYKO,ST,LOUISBLUES
