Date,Injury,Firstname,Lastname,City,TeamName
"Dec 17, 2017",Missed 4 games (foot injury).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 12, 2017","Foot injury, injured reserve.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 10, 2017","Foot injury, day-to-day.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 21, 2016",Missed 1 game (illness).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 20, 2016","Illness, day-to-day.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Feb 27, 2016",Missed 9 games (knee injury).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Feb 08, 2016","Knee injury, injured reserve.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Apr 17, 2014",Missed the last regular season game (undisclosed).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Apr 13, 2014","Undisclosed, day-to-day.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Sep 13, 2013",Re-signed as a restricted free agent by the St. Louis Blues to a seven-year contract.,ALEX,PIETRANGELO,ST,LOUISBLUES
"Jul 02, 2013",St. Louis Blues tendered a qualifying offer.,ALEX,PIETRANGELO,ST,LOUISBLUES
"Mar 19, 2013",Missed 1 game (flu).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Mar 16, 2013","Flu, day-to-day.",ALEX,PIETRANGELO,ST,LOUISBLUES
"May 03, 2012",Missed the last playoff game (lower body injury).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Apr 30, 2012","Lower body injury, day-to-day.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 02, 2011",Missed 1 game (illness).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Nov 29, 2011","Illness, day-to-day.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 20, 2010",Missed 3 games (upper body injury).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 15, 2010","Upper body injury, day-to-day.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Jan 06, 2010",Returned to Niagara (OHL).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Dec 15, 2009",Assigned to Canadian Junior National Team.,ALEX,PIETRANGELO,ST,LOUISBLUES
"Apr 10, 2009",Assigned to Peoria (AHL).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Nov 13, 2008",Assigned to Niagara (OHL).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Nov 01, 2008",Missed 6 games (head injury).,ALEX,PIETRANGELO,ST,LOUISBLUES
"Oct 16, 2008","Head injury, sidelined indefinitely.",ALEX,PIETRANGELO,ST,LOUISBLUES
"Sep 04, 2008",Signed by the St. Louis Blues to an entry-level contract.,ALEX,PIETRANGELO,ST,LOUISBLUES
