Date,Injury,Firstname,Lastname,City,TeamName
"Feb 24, 2018",Missed 31 games (lower body injury).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Feb 15, 2018",Acquired from the Toronto Maple Leafs.,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Feb 12, 2018",Recalled from his conditioning assignment with the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Feb 01, 2018",Assigned to the Toronto Marlies (AHL) for conditioning purposes.,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Dec 12, 2017","Lower body injury, injured reserve.",NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Nov 14, 2017",Recalled from the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Oct 02, 2017",Assigned to the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Apr 23, 2017",Missed the last 11 regular season and all 6 playoff games (undisclosed).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Mar 22, 2017","Undisclosed, day-to-day.",NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Mar 01, 2017",Recalled from the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Mar 01, 2017",Assigned to the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Feb 15, 2017",Missed 3 games (upper body injury).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Feb 09, 2017","Upper body injury, day-to-day.",NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Jan 13, 2017",Missed 1 game (upper body injury).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Jan 07, 2017","Upper body injury, day-to-day.",NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Nov 01, 2016",Recalled from the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Oct 10, 2016",Assigned to the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Apr 04, 2016",Missed 7 games (upper body injury).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Apr 04, 2016",Assigned to the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Mar 20, 2016","Upper body injury, day-to-day.",NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Feb 29, 2016",Recalled from the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Oct 04, 2015",Assigned to the Toronto Marlies (AHL).,NIKITA,SOSHNIKOV,ST,LOUISBLUES
"Mar 20, 2015",Signed as an undrafted free agent by the Toronto Maple Leafs to a three-year entry-level contract.,NIKITA,SOSHNIKOV,ST,LOUISBLUES
