Date,Injury,Firstname,Lastname,City,TeamName
"Feb 13, 2018",Recalled from his conditioning assignment with the Chicago Wolves (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Feb 01, 2018",Recalled from the Chicago Wolves (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Jan 31, 2018",Assigned to the Chicago Wolves (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Jul 01, 2017",Re-signed as a restricted free agent by the St. Louis Blues to a one-year contract.,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Jun 26, 2017",St. Louis Blues tendered a qualifying offer.,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Jun 23, 2017",Acquired from the Pittsburgh Penguins.,OSKAR,SUNDQVIST,ST,LOUISBLUES
"May 02, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Apr 10, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Apr 09, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 30, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 21, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 16, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 10, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Oct 03, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 30, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 28, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 25, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 25, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Mar 18, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Feb 25, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Feb 04, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Oct 08, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Oct 06, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Sep 30, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Apr 27, 2015",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"Oct 07, 2014",Returned to his european team (Skelleftea AIK-Swe).,OSKAR,SUNDQVIST,ST,LOUISBLUES
"May 31, 2014",Signed by the Pittsburgh Penguins to a three-year entry-level contract.,OSKAR,SUNDQVIST,ST,LOUISBLUES
