Date,Injury,Firstname,Lastname,City,TeamName
"Jan 02, 2016",Missed 1 game (illness).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Dec 31, 2015","Illness, day-to-day.",VLADIMIR,TARASENKO,ST,LOUISBLUES
"Nov 03, 2015",Missed 1 game (undisclosed).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Oct 31, 2015","Undisclosed, day-to-day.",VLADIMIR,TARASENKO,ST,LOUISBLUES
"Jul 07, 2015",Re-signed as a restricted free agent by the St. Louis Blues to an eight-year contract.,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Apr 10, 2015",Missed 5 games (lower body injury).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Apr 01, 2015","Lower body injury, day-to-day.",VLADIMIR,TARASENKO,ST,LOUISBLUES
"Apr 17, 2014",Missed the last 15 regular season games (right hand surgery).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Mar 16, 2014","Right hand surgery, sidelined indefinitely.",VLADIMIR,TARASENKO,ST,LOUISBLUES
"Feb 08, 2014",Missed 1 game (flu).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Feb 06, 2014","Flu, day-to-day.",VLADIMIR,TARASENKO,ST,LOUISBLUES
"Jan 23, 2014",Missed 2 games (flu).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Jan 20, 2014","Flu, day-to-day.",VLADIMIR,TARASENKO,ST,LOUISBLUES
"Mar 16, 2013",Missed 10 games (concussion).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Feb 22, 2013","Concussion, injured reserve.",VLADIMIR,TARASENKO,ST,LOUISBLUES
"Sep 24, 2012",Signed with SKA St. Petersburg (KHL).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Sep 14, 2012",Assigned to Peoria (AHL).,VLADIMIR,TARASENKO,ST,LOUISBLUES
"Jul 03, 2012",Signed by the St. Louis Blues to a three-year entry-level contract.,VLADIMIR,TARASENKO,ST,LOUISBLUES
