Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Feb 26, 2018",Recalled from the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Feb 24, 2018",Recalled from the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Feb 14, 2018",Missed 2 games (undisclosed).,TAGE,THOMPSON,ST,LOUISBLUES
"Feb 14, 2018",Assigned to the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Feb 11, 2018","Undisclosed, day-to-day.",TAGE,THOMPSON,ST,LOUISBLUES
"Jan 15, 2018",Recalled from the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Jan 10, 2018",Assigned to the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Dec 18, 2017",Recalled from the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Oct 13, 2017",Assigned to the San Antonio Rampage (AHL).,TAGE,THOMPSON,ST,LOUISBLUES
"Mar 07, 2017",Signed by the St. Louis Blues to a three-year entry-level contract.,TAGE,THOMPSON,ST,LOUISBLUES
"Mar 07, 2017",Signed with the Chicago Wolves (AHL) to an amateur try-out contract.,TAGE,THOMPSON,ST,LOUISBLUES
