Date,Injury,Firstname,Lastname,City,TeamName
"Oct 01, 2017",Re-signed as an unrestricted free agent by the St. Louis Blues to a one-year contract.,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Sep 29, 2017",Released by the Vancouver Canucks from professional try-out contract.,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Sep 08, 2017",Signed by the Vancouver Canucks to a professional try-out contract.,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Jun 22, 2016",Signed by the St. Louis Blues to a one-year contract extension.,SCOTTIE,UPSHALL,ST,LOUISBLUES
"May 25, 2016",Missed the last 2 playoff games (upper body injury).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"May 21, 2016","Upper body injury, day-to-day.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Oct 31, 2015",Missed 1 game (undisclosed).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Oct 29, 2015","Undisclosed, day-to-day.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Oct 05, 2015",Signed as an unrestricted free agent by the St. Louis Blues to a one-year contract.,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Sep 01, 2015",Invited to training camp by the St. Louis Blues.,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Apr 04, 2015",Missed 1 game (upper body injury).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Apr 02, 2015","Upper body injury, day-to-day.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Dec 16, 2014",Missed 9 games (ankle injury).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Nov 27, 2014","Ankle injury, injured reserve.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Nov 26, 2014","Ankle injury, day-to-day.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Nov 24, 2014",Missed 2 games (lower body injury).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Nov 20, 2014","Lower body injury, day-to-day.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Jan 04, 2014",Missed 3 games (upper body injury).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Dec 28, 2013","Upper body injury, day-to-day.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Mar 19, 2013",Missed 8 games (lower body injury).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Mar 05, 2013","Lower body injury, injured reserve.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Mar 03, 2013","Lower body injury, day-to-day.",SCOTTIE,UPSHALL,ST,LOUISBLUES
"Mar 02, 2013",Missed 13 games (ankle injury).,SCOTTIE,UPSHALL,ST,LOUISBLUES
"Feb 01, 2013","Ankle injury, injured reserve.",SCOTTIE,UPSHALL,ST,LOUISBLUES
