Date,Injury,Firstname,Lastname,City,TeamName
"Feb 10, 2017",Missed 1 game (illness).,ZDENO,CHARA,BOSTON,BRUINS
"Feb 09, 2017","Illness, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Dec 05, 2016",Missed 6 games (lower body injury).,ZDENO,CHARA,BOSTON,BRUINS
"Nov 23, 2016","Lower body injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Oct 12, 2015",Missed 2 games (undisclosed).,ZDENO,CHARA,BOSTON,BRUINS
"Oct 06, 2015","Undisclosed, injured reserve.",ZDENO,CHARA,BOSTON,BRUINS
"Dec 11, 2014",Missed 19 games (right knee injury).,ZDENO,CHARA,BOSTON,BRUINS
"Oct 24, 2014","Knee injury, injured reserve.",ZDENO,CHARA,BOSTON,BRUINS
"Feb 26, 2014",Missed 2 games (personal reasons).,ZDENO,CHARA,BOSTON,BRUINS
"Feb 06, 2014","Personal reasons, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Jan 01, 2014",Missed 1 game (undisclosed).,ZDENO,CHARA,BOSTON,BRUINS
"Dec 28, 2013","Undisclosed, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Oct 02, 2012",Signed with HC Lev Praha (KHL).,ZDENO,CHARA,BOSTON,BRUINS
"Dec 17, 2011",Missed 2 games (leg injury).,ZDENO,CHARA,BOSTON,BRUINS
"Dec 13, 2011","Leg injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Apr 18, 2011",Missed the last playoff game (dehydration).,ZDENO,CHARA,BOSTON,BRUINS
"Apr 16, 2011","Dehydration, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Oct 09, 2010",Signed by the Boston Bruins to a seven-year contract extension.,ZDENO,CHARA,BOSTON,BRUINS
"Mar 11, 2010",Missed 1 game (lower body injury).,ZDENO,CHARA,BOSTON,BRUINS
"Mar 09, 2010","Lower body injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Mar 20, 2008",Missed 5 games (upper body injury).,ZDENO,CHARA,BOSTON,BRUINS
"Mar 09, 2008","Upper body injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Jan 11, 2007",Missed 2 games (lower body injury).,ZDENO,CHARA,BOSTON,BRUINS
"Jan 06, 2007","Lower body injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Jul 01, 2006",Signed as an unrestricted free agent by the Boston Bruins to a five-year contract.,ZDENO,CHARA,BOSTON,BRUINS
"Apr 11, 2006",Missed 10 games (hand injury).,ZDENO,CHARA,BOSTON,BRUINS
"Mar 23, 2006","Hand injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Dec 03, 2005",Suspended by the NHL for one game.,ZDENO,CHARA,BOSTON,BRUINS
"Sep 24, 2004",NHL lockout: Signed with the Farjestad BK of the Elitserien Hockey League (Sweden).,ZDENO,CHARA,BOSTON,BRUINS
"Aug 10, 2004",Re-signed by the Ottawa Senators to a two-year contract.,ZDENO,CHARA,BOSTON,BRUINS
"Jul 16, 2004",Filed for salary arbitration.,ZDENO,CHARA,BOSTON,BRUINS
"Mar 08, 2004",Missed 1 game (right foot injury).,ZDENO,CHARA,BOSTON,BRUINS
"Mar 06, 2004","Right foot injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Feb 10, 2004",Missed 2 games (upper body injury).,ZDENO,CHARA,BOSTON,BRUINS
"Feb 03, 2004","Upper body injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Mar 08, 2003",Missed 8 games (chest injury).,ZDENO,CHARA,BOSTON,BRUINS
"Feb 17, 2003","Chest injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"May 14, 2002",Missed Game 6 and 7 of Round Two against Toronto (knee injury).,ZDENO,CHARA,BOSTON,BRUINS
"May 12, 2002","Knee injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Mar 30, 2002",Missed 4 games (flu).,ZDENO,CHARA,BOSTON,BRUINS
"Mar 23, 2002","Flu, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Jan 20, 2002",Missed 3 games (shoulder injury).,ZDENO,CHARA,BOSTON,BRUINS
"Jan 15, 2002","Shoulder injury, day-to-day.",ZDENO,CHARA,BOSTON,BRUINS
"Sep 24, 2001",Re-signed by the Ottawa Senators.,ZDENO,CHARA,BOSTON,BRUINS
"Jun 23, 2001",Acquired from the New York Islanders.,ZDENO,CHARA,BOSTON,BRUINS
