Date,Injury,Firstname,Lastname,City,TeamName
"Feb 25, 2018",Signed as a free agent by the Boston Bruins to a one-year contract.,BRIAN,GIONTA,BOSTON,BRUINS
"Jan 29, 2018",Signed with the Rochester Americans (AHL) to a professional try-out contract.,BRIAN,GIONTA,BOSTON,BRUINS
"Oct 15, 2015",Missed 3 games (lower body injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Oct 08, 2015","Lower body injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Jan 27, 2015",Missed 13 games (upper body injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Jan 13, 2015","Upper body injury, injured reserve.",BRIAN,GIONTA,BOSTON,BRUINS
"Dec 23, 2014","Upper body injury, sidelined indefinitely.",BRIAN,GIONTA,BOSTON,BRUINS
"Jul 01, 2014",Signed as an unrestricted free agent by the Buffalo Sabres to a three-year contract.,BRIAN,GIONTA,BOSTON,BRUINS
"Oct 15, 2013",Missed 1 game (personal reasons).,BRIAN,GIONTA,BOSTON,BRUINS
"Oct 12, 2013","Personal reasons, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"May 09, 2013",Missed the last 2 playoff games (biceps injury).,BRIAN,GIONTA,BOSTON,BRUINS
"May 08, 2013","Biceps injury, remainder of the playoffs.",BRIAN,GIONTA,BOSTON,BRUINS
"May 07, 2013","Biceps injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"May 05, 2013",Missed 1 game (upper body injury).,BRIAN,GIONTA,BOSTON,BRUINS
"May 03, 2013","Upper body injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Apr 07, 2012",Missed the last 40 regular season games (biceps injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Jan 14, 2012","Biceps injury, injured reserve.",BRIAN,GIONTA,BOSTON,BRUINS
"Jan 12, 2012","Biceps injury, sidelined indefinitely.",BRIAN,GIONTA,BOSTON,BRUINS
"Jan 07, 2012",Missed 11 games (lower body injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Dec 13, 2011","Lower body injury, injured reserve.",BRIAN,GIONTA,BOSTON,BRUINS
"Dec 10, 2011","Arm injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Dec 28, 2009",Missed 21 games (broken left foot).,BRIAN,GIONTA,BOSTON,BRUINS
"Nov 18, 2009","Broken left foot, sidelined indefinitely.",BRIAN,GIONTA,BOSTON,BRUINS
"Nov 14, 2009","Lower body injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Jul 01, 2009",Signed as an unrestricted free agent by the Montreal Canadiens to a four-year contract.,BRIAN,GIONTA,BOSTON,BRUINS
"Nov 12, 2008",Missed 1 game (head injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Nov 09, 2008","Head injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Apr 08, 2007",Missed 1 game (leg injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Apr 05, 2007","Leg injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Apr 01, 2007",Missed 11 games (groin).,BRIAN,GIONTA,BOSTON,BRUINS
"Mar 16, 2007","Groin, early April.",BRIAN,GIONTA,BOSTON,BRUINS
"Mar 08, 2007","Groin, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Mar 04, 2007",Missed 8 games (groin).,BRIAN,GIONTA,BOSTON,BRUINS
"Feb 15, 2007","Groin, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Oct 03, 2006",Re-signed as a restricted free agent by the New Jersey Devils to a three-year contract.,BRIAN,GIONTA,BOSTON,BRUINS
"Sep 21, 2005",Re-signed as a restricted free agent by the New Jersey Devils.,BRIAN,GIONTA,BOSTON,BRUINS
"Jul 31, 2005",New Jersey Devils tendered a qualifying offer.,BRIAN,GIONTA,BOSTON,BRUINS
"Jan 03, 2005",NHL lockout: Signed with the Iserlohn Roosters of the Deutsche Liga (Germany).,BRIAN,GIONTA,BOSTON,BRUINS
"Mar 20, 2004",Missed 7 games (facial injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Mar 06, 2004","Facial injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Mar 05, 2004","Facial injury, left Friday's game.",BRIAN,GIONTA,BOSTON,BRUINS
"Feb 23, 2003",Missed 3 games (ankle injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Feb 17, 2003","Ankle injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Feb 15, 2003",Missed 19 games (broken right leg).,BRIAN,GIONTA,BOSTON,BRUINS
"Feb 04, 2003","Broken right leg, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Jan 04, 2003","Broken right leg, late January.",BRIAN,GIONTA,BOSTON,BRUINS
"Dec 19, 2002",Missed 2 games (ankle injury).,BRIAN,GIONTA,BOSTON,BRUINS
"Dec 14, 2002","Ankle injury, day-to-day.",BRIAN,GIONTA,BOSTON,BRUINS
"Jan 23, 2002",Recalled from Albany (AHL).,BRIAN,GIONTA,BOSTON,BRUINS
"Jan 04, 2002",Assigned to Albany (AHL).,BRIAN,GIONTA,BOSTON,BRUINS
"Dec 28, 2001",Recalled from Albany (AHL).,BRIAN,GIONTA,BOSTON,BRUINS
"Sep 26, 2001",Assigned to Albany (AHL).,BRIAN,GIONTA,BOSTON,BRUINS
