Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018","Lower body injury, day-to-day.",MATT,GRZELCYK,BOSTON,BRUINS
"Feb 26, 2018",Recalled from the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Feb 26, 2018",Assigned to the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Nov 21, 2017",Recalled from the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Oct 09, 2017",Assigned to the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Apr 18, 2017",Assigned to the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Apr 17, 2017",Recalled from the Providence Bruins (AHL) on an emergency basis.,MATT,GRZELCYK,BOSTON,BRUINS
"Dec 17, 2016",Assigned to the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Dec 14, 2016",Recalled from the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Oct 02, 2016",Assigned to the Providence Bruins (AHL).,MATT,GRZELCYK,BOSTON,BRUINS
"Apr 01, 2016",Signed by the Boston Bruins to a two-year entry-level contract.,MATT,GRZELCYK,BOSTON,BRUINS
"Apr 01, 2016",Signed with the Providence Bruins (AHL) to an amateur try-out contract.,MATT,GRZELCYK,BOSTON,BRUINS
