Date,Injury,Firstname,Lastname,City,TeamName
"Feb 20, 2018",Acquired from the New York Rangers.,NICK,HOLDEN,BOSTON,BRUINS
"Apr 09, 2017",Missed 2 games (undisclosed).,NICK,HOLDEN,BOSTON,BRUINS
"Apr 05, 2017","Undisclosed, day-to-day.",NICK,HOLDEN,BOSTON,BRUINS
"Jun 25, 2016",Acquired from the Colorado Avalanche.,NICK,HOLDEN,BOSTON,BRUINS
"Jul 01, 2014",Signed by the Colorado Avalanche to a three-year contract extension.,NICK,HOLDEN,BOSTON,BRUINS
"Jan 14, 2014",Missed 1 game (personal reasons).,NICK,HOLDEN,BOSTON,BRUINS
"Jan 11, 2014","Personal reasons, day-to-day.",NICK,HOLDEN,BOSTON,BRUINS
"Jul 05, 2013",Signed as an unrestricted free agent by the Colorado Avalanche to a two-year contract.,NICK,HOLDEN,BOSTON,BRUINS
"Feb 12, 2013",Assigned to Springfield (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Feb 03, 2013",Recalled from Springfield (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Jan 17, 2013",Placed on waivers by the Columbus Blue Jackets.,NICK,HOLDEN,BOSTON,BRUINS
"Sep 15, 2012",Assigned to Springfield (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Jul 01, 2012",Re-signed as an unrestricted free agent by the Columbus Blue Jackets to a one-year contract.,NICK,HOLDEN,BOSTON,BRUINS
"Oct 01, 2011",Placed on waivers for the purpose of being assigned to Springfield (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Jun 20, 2011",Re-signed by the Columbus Blue Jackets to a one-year two-way contract.,NICK,HOLDEN,BOSTON,BRUINS
"Nov 05, 2010",Assigned to Springfield (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Oct 20, 2010",Recalled from Springfield (AHL) on an emergency basis.,NICK,HOLDEN,BOSTON,BRUINS
"Oct 02, 2010",Assigned to Springfield (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Sep 28, 2009",Assigned to Syracuse (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Apr 13, 2009",Recalled from Syracuse (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Sep 28, 2008",Assigned to Syracuse (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Apr 01, 2008",Re-assigned to Syracuse (AHL).,NICK,HOLDEN,BOSTON,BRUINS
"Mar 28, 2008",Signed by the Columbus Blue Jackets to a three-year entry level contract.,NICK,HOLDEN,BOSTON,BRUINS
