Date,Injury,Firstname,Lastname,City,TeamName
"Apr 26, 2017",Assigned to the Providence Bruins (AHL).,SEAN,KURALY,BOSTON,BRUINS
"Apr 02, 2017",Recalled from the Providence Bruins (AHL) on an emergency basis.,SEAN,KURALY,BOSTON,BRUINS
"Mar 20, 2017",Assigned to the Providence Bruins (AHL).,SEAN,KURALY,BOSTON,BRUINS
"Mar 19, 2017",Recalled from the Providence Bruins (AHL) on an emergency basis.,SEAN,KURALY,BOSTON,BRUINS
"Nov 24, 2016",Assigned to the Providence Bruins (AHL).,SEAN,KURALY,BOSTON,BRUINS
"Nov 11, 2016",Recalled from the Providence Bruins (AHL).,SEAN,KURALY,BOSTON,BRUINS
"Nov 04, 2016",Assigned to the Providence Bruins (AHL).,SEAN,KURALY,BOSTON,BRUINS
"Nov 01, 2016",Recalled from the Providence Bruins (AHL).,SEAN,KURALY,BOSTON,BRUINS
"Oct 10, 2016",Assigned to the Providence Bruins (AHL).,SEAN,KURALY,BOSTON,BRUINS
"Mar 29, 2016",Signed by the Boston Bruins to an entry-level contract.,SEAN,KURALY,BOSTON,BRUINS
"Mar 29, 2016",Signed with the Providence Bruins (AHL) to an amateur try-out contract.,SEAN,KURALY,BOSTON,BRUINS
"Jun 30, 2015",Acquired from the San Jose Sharks.,SEAN,KURALY,BOSTON,BRUINS
