Date,Injury,Firstname,Lastname,City,TeamName
"Feb 07, 2018",Missed 5 games (suspended by nhl).,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 24, 2018",Suspended by the NHL for 5 games.,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 24, 2018","Fined $373,475 by the NHL.",BRAD,MARCHAND,BOSTON,BRUINS
"Nov 29, 2017",Missed 6 games (undisclosed).,BRAD,MARCHAND,BOSTON,BRUINS
"Nov 16, 2017","Undisclosed, injured reserve.",BRAD,MARCHAND,BOSTON,BRUINS
"Nov 14, 2017","Undisclosed, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Nov 10, 2017",Missed 2 games (upper body injury).,BRAD,MARCHAND,BOSTON,BRUINS
"Nov 06, 2017","Upper body injury, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Apr 09, 2017",Missed 2 games (suspended by nhl).,BRAD,MARCHAND,BOSTON,BRUINS
"Apr 06, 2017",Suspended by the NHL for 2 games.,BRAD,MARCHAND,BOSTON,BRUINS
"Apr 06, 2017","Fined $109,756 by the NHL.",BRAD,MARCHAND,BOSTON,BRUINS
"Jan 26, 2017","Fined $10,000 by the NHL.",BRAD,MARCHAND,BOSTON,BRUINS
"Sep 26, 2016",Signed by the Boston Bruins to an eight-year contract extension.,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 09, 2016",Missed 3 games (suspended by nhl).,BRAD,MARCHAND,BOSTON,BRUINS
"Dec 30, 2015",Suspended by the NHL for 3 games.,BRAD,MARCHAND,BOSTON,BRUINS
"Dec 30, 2015","Fined $164,634 by the NHL.",BRAD,MARCHAND,BOSTON,BRUINS
"Nov 13, 2015","Fined $5,000 by the NHL.",BRAD,MARCHAND,BOSTON,BRUINS
"Oct 17, 2015",Missed 2 games (concussion).,BRAD,MARCHAND,BOSTON,BRUINS
"Oct 12, 2015","Concussion, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Jan 20, 2015",Missed 2 games (suspended by nhl).,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 16, 2015",Suspended by the NHL for 2 games.,BRAD,MARCHAND,BOSTON,BRUINS
"Nov 24, 2014",Missed 3 games (undisclosed).,BRAD,MARCHAND,BOSTON,BRUINS
"Nov 22, 2014","Undisclosed, injured reserve.",BRAD,MARCHAND,BOSTON,BRUINS
"Nov 18, 2014","Undisclosed, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Apr 17, 2013",Missed 2 games (mild concussion).,BRAD,MARCHAND,BOSTON,BRUINS
"Apr 11, 2013","Mild concussion, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Feb 10, 2013",Missed 1 game (upper body injury).,BRAD,MARCHAND,BOSTON,BRUINS
"Feb 06, 2013","Upper body injury, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Sep 07, 2012",Signed by the Boston Bruins to a four-year contract extension.,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 19, 2012",Missed 5 games (suspended by nhl).,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 09, 2012",Suspended by the NHL for 5 games.,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 07, 2012",Missed 1 game (flu).,BRAD,MARCHAND,BOSTON,BRUINS
"Jan 05, 2012","Flu, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Dec 12, 2011","Fined $2,500 by the NHL.",BRAD,MARCHAND,BOSTON,BRUINS
"Sep 14, 2011",Re-signed as a restricted free agent by the Boston Bruins to a two-year contract.,BRAD,MARCHAND,BOSTON,BRUINS
"Mar 22, 2011",Missed 2 games (suspended by nhl).,BRAD,MARCHAND,BOSTON,BRUINS
"Mar 17, 2011",Suspended by the NHL for two games.,BRAD,MARCHAND,BOSTON,BRUINS
"Dec 28, 2010",Missed 3 games (undisclosed).,BRAD,MARCHAND,BOSTON,BRUINS
"Dec 20, 2010","Undisclosed, day-to-day.",BRAD,MARCHAND,BOSTON,BRUINS
"Mar 05, 2010",Recalled from Providence (AHL).,BRAD,MARCHAND,BOSTON,BRUINS
"Nov 20, 2009",Assigned to Providence (AHL).,BRAD,MARCHAND,BOSTON,BRUINS
"Oct 21, 2009",Recalled from Providence (AHL).,BRAD,MARCHAND,BOSTON,BRUINS
"Sep 28, 2009",Assigned to Providence (AHL).,BRAD,MARCHAND,BOSTON,BRUINS
"Sep 27, 2008",Assigned to Providence (AHL).,BRAD,MARCHAND,BOSTON,BRUINS
"Oct 16, 2007",Signed by the Boston Bruins to an entry-level contract.,BRAD,MARCHAND,BOSTON,BRUINS
"Sep 21, 2007",Returned to his junior team (Val d'Or-QMJHL).,BRAD,MARCHAND,BOSTON,BRUINS
