Date,Injury,Firstname,Lastname,City,TeamName
"Jan 17, 2018",Missed 36 games (broken right fibula).,ADAM,MCQUAID,BOSTON,BRUINS
"Oct 20, 2017","Broken right fibula, injured reserve.",ADAM,MCQUAID,BOSTON,BRUINS
"Apr 23, 2017",Missed the last 4 playoff games (upper body injury).,ADAM,MCQUAID,BOSTON,BRUINS
"Apr 17, 2017","Upper body injury, day-to-day.",ADAM,MCQUAID,BOSTON,BRUINS
"Oct 25, 2016",Missed 5 games (upper body injury).,ADAM,MCQUAID,BOSTON,BRUINS
"Oct 11, 2016","Upper body injury, injured reserve.",ADAM,MCQUAID,BOSTON,BRUINS
"Feb 16, 2016",Missed 18 games (upper body injury).,ADAM,MCQUAID,BOSTON,BRUINS
"Jan 07, 2016","Upper body injury, injured reserve.",ADAM,MCQUAID,BOSTON,BRUINS
"Jan 06, 2016","Upper body injury, day-to-day.",ADAM,MCQUAID,BOSTON,BRUINS
"Jun 26, 2015",Re-signed by the Boston Bruins to a four-year contract.,ADAM,MCQUAID,BOSTON,BRUINS
"Jan 03, 2015",Missed 18 games (broken thumb).,ADAM,MCQUAID,BOSTON,BRUINS
"Nov 19, 2014","Broken thumb, injured reserve.",ADAM,MCQUAID,BOSTON,BRUINS
"May 14, 2014",Missed the last 34 regular season and first 12 playoff games (lower body injury).,ADAM,MCQUAID,BOSTON,BRUINS
"Mar 04, 2014","Lower body injury, injured reserve.",ADAM,MCQUAID,BOSTON,BRUINS
"Jan 20, 2014","Lower body injury, sidelined indefinitely.",ADAM,MCQUAID,BOSTON,BRUINS
"Dec 23, 2013",Missed 9 games (lower body injury).,ADAM,MCQUAID,BOSTON,BRUINS
"Dec 08, 2013","Lower body injury, injured reserve.",ADAM,MCQUAID,BOSTON,BRUINS
"Dec 04, 2013","Lower body injury, day-to-day.",ADAM,MCQUAID,BOSTON,BRUINS
"Nov 27, 2013",Missed 8 games (groin).,ADAM,MCQUAID,BOSTON,BRUINS
"Nov 11, 2013","Groin, day-to-day.",ADAM,MCQUAID,BOSTON,BRUINS
"Apr 23, 2013",Missed 1 game (upper body injury).,ADAM,MCQUAID,BOSTON,BRUINS
"Apr 21, 2013","Upper body injury, day-to-day.",ADAM,MCQUAID,BOSTON,BRUINS
"Apr 11, 2013",Missed 11 games (shoulder injury).,ADAM,MCQUAID,BOSTON,BRUINS
"Mar 23, 2013","Shoulder injury, injured reserve.",ADAM,MCQUAID,BOSTON,BRUINS
