Date,Injury,Firstname,Lastname,City,TeamName
"Oct 26, 2017",Missed 2 games (concussion).,TUUKKA,RASK,BOSTON,BRUINS
"Oct 19, 2017","Concussion, sidelined indefinitely.",TUUKKA,RASK,BOSTON,BRUINS
"Mar 28, 2017",Missed 1 game (lower body injury).,TUUKKA,RASK,BOSTON,BRUINS
"Mar 25, 2017","Lower body injury, day-to-day.",TUUKKA,RASK,BOSTON,BRUINS
"Oct 29, 2016",Missed 3 games (lower body injury).,TUUKKA,RASK,BOSTON,BRUINS
"Oct 26, 2016","Lower body injury, injured reserve.",TUUKKA,RASK,BOSTON,BRUINS
"Oct 22, 2016","General soreness, day-to-day.",TUUKKA,RASK,BOSTON,BRUINS
"Apr 09, 2016",Missed the last regular season game (illness).,TUUKKA,RASK,BOSTON,BRUINS
"Apr 09, 2016","Illness, day-to-day.",TUUKKA,RASK,BOSTON,BRUINS
"Mar 19, 2015",Missed 1 game (illness).,TUUKKA,RASK,BOSTON,BRUINS
"Mar 17, 2015","Illness, day-to-day.",TUUKKA,RASK,BOSTON,BRUINS
"Feb 28, 2015",Missed 1 game (illness).,TUUKKA,RASK,BOSTON,BRUINS
"Feb 27, 2015","Illness, day-to-day.",TUUKKA,RASK,BOSTON,BRUINS
"Jul 10, 2013",Re-signed as a restricted free agent by the Boston Bruins to an eight-year contract.,TUUKKA,RASK,BOSTON,BRUINS
"Jul 02, 2013",Boston Bruins tendered a qualifying offer.,TUUKKA,RASK,BOSTON,BRUINS
"Sep 25, 2012",Signed with HC Skoda Plzen (Czech Republic).,TUUKKA,RASK,BOSTON,BRUINS
"Jul 01, 2012",Re-signed as a restricted free agent by the Boston Bruins to a one-year contract.,TUUKKA,RASK,BOSTON,BRUINS
"Apr 22, 2012",Missed 19 regular season and 5 playoff games (groin).,TUUKKA,RASK,BOSTON,BRUINS
"Mar 04, 2012","Groin, sidelined indefinitely.",TUUKKA,RASK,BOSTON,BRUINS
"Mar 09, 2010",Missed 3 games (undisclosed).,TUUKKA,RASK,BOSTON,BRUINS
"Mar 04, 2010","Undisclosed, day-to-day.",TUUKKA,RASK,BOSTON,BRUINS
"Nov 05, 2009",Signed by the Boston Bruins to a two-year contract extension.,TUUKKA,RASK,BOSTON,BRUINS
"Feb 02, 2009",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Jan 26, 2009",Recalled from Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Jan 14, 2009",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Jan 12, 2009",Recalled from Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Jan 11, 2009",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Jan 10, 2009",Recalled from Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Oct 02, 2008",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Jan 10, 2008",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Jan 05, 2008",Recalled from Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Dec 16, 2007",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Nov 19, 2007",Recalled from Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Nov 18, 2007",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Nov 15, 2007",Recalled from Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Nov 11, 2007",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Nov 05, 2007",Recalled from Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"Sep 25, 2007",Assigned to Providence (AHL).,TUUKKA,RASK,BOSTON,BRUINS
"May 08, 2007",Signed by the Providence Bruins (AHL) to an amateur tryout contract.,TUUKKA,RASK,BOSTON,BRUINS
"May 05, 2007",Signed by the Boston Bruins to a multi-year entry-level contract.,TUUKKA,RASK,BOSTON,BRUINS
"Jun 24, 2006",Acquired from the Toronto Maple Leafs.,TUUKKA,RASK,BOSTON,BRUINS
