Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Chicago Blackhawks.,TOMMY,WINGELS,BOSTON,BRUINS
"Jul 01, 2017",Signed as an unrestricted free agent by the Chicago Blackhawks to a one-year contract.,TOMMY,WINGELS,BOSTON,BRUINS
"Jan 24, 2017",Acquired from the San Jose Sharks.,TOMMY,WINGELS,BOSTON,BRUINS
"Dec 02, 2016",Missed 3 games (undisclosed).,TOMMY,WINGELS,BOSTON,BRUINS
"Nov 26, 2016","Undisclosed, day-to-day.",TOMMY,WINGELS,BOSTON,BRUINS
"Mar 15, 2016",Missed 12 games (sprained shoulder).,TOMMY,WINGELS,BOSTON,BRUINS
"Feb 22, 2016","Upper body injury, injured reserve.",TOMMY,WINGELS,BOSTON,BRUINS
"Feb 19, 2016","Upper body injury, sidelined indefinitely.",TOMMY,WINGELS,BOSTON,BRUINS
"Feb 09, 2015",Missed 7 games (upper body injury).,TOMMY,WINGELS,BOSTON,BRUINS
"Jan 20, 2015","Upper body injury, injured reserve.",TOMMY,WINGELS,BOSTON,BRUINS
"Jul 07, 2014",Re-signed as a restricted free agent by the San Jose Sharks to a three-year contract.,TOMMY,WINGELS,BOSTON,BRUINS
"Jun 30, 2014",San Jose Sharks tendered a qualifying offer.,TOMMY,WINGELS,BOSTON,BRUINS
"Jan 09, 2014",Missed 5 games (upper body injury).,TOMMY,WINGELS,BOSTON,BRUINS
"Jan 04, 2014","Upper body injury, injured reserve.",TOMMY,WINGELS,BOSTON,BRUINS
"Dec 31, 2013","Upper body injury, day-to-day.",TOMMY,WINGELS,BOSTON,BRUINS
"Mar 09, 2013",Missed 5 games (upper body injury).,TOMMY,WINGELS,BOSTON,BRUINS
"Mar 04, 2013","Upper body injury, injured reserve.",TOMMY,WINGELS,BOSTON,BRUINS
"Feb 26, 2013","Upper body injury, day-to-day.",TOMMY,WINGELS,BOSTON,BRUINS
"Oct 02, 2012",Signed with KooKoo Kouvola (Finland).,TOMMY,WINGELS,BOSTON,BRUINS
"Jun 26, 2012",Re-signed by the San Jose Sharks to a two-year contract.,TOMMY,WINGELS,BOSTON,BRUINS
"Mar 22, 2012",Missed 5 games (upper body injury).,TOMMY,WINGELS,BOSTON,BRUINS
"Mar 13, 2012","Upper body injury, day-to-day.",TOMMY,WINGELS,BOSTON,BRUINS
"Feb 13, 2012",Missed 9 games (upper body injury).,TOMMY,WINGELS,BOSTON,BRUINS
"Jan 21, 2012","Upper body injury, injured reserve.",TOMMY,WINGELS,BOSTON,BRUINS
"Jan 05, 2012",Recalled from Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Oct 22, 2011",Assigned to Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Apr 14, 2011",Recalled from Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Feb 18, 2011",Assigned to Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Feb 17, 2011",Recalled from Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Jan 03, 2011",Assigned to Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Dec 29, 2010",Recalled from Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Nov 29, 2010",Assigned to Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Nov 27, 2010",Recalled from Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"Oct 11, 2010",Assigned to Worcester (AHL).,TOMMY,WINGELS,BOSTON,BRUINS
"May 31, 2010",Signed by the San Jose Sharks to a two-year entry-level contract.,TOMMY,WINGELS,BOSTON,BRUINS
