Date,Injury,Firstname,Lastname,City,TeamName
"Apr 11, 2017",Missed the last 6 regular season games (upper body injury).,JORDIE,BENN,MONTREAL,CANADIENS
"Mar 30, 2017","Undisclosed, day-to-day.",JORDIE,BENN,MONTREAL,CANADIENS
"Feb 27, 2017",Acquired from the Dallas Stars.,JORDIE,BENN,MONTREAL,CANADIENS
"Jun 24, 2016",Re-signed by the Dallas Stars to a three-year contract.,JORDIE,BENN,MONTREAL,CANADIENS
"Mar 22, 2016",Missed 8 games (lower body injury).,JORDIE,BENN,MONTREAL,CANADIENS
"Mar 03, 2016","Lower body injury, day-to-day.",JORDIE,BENN,MONTREAL,CANADIENS
"Feb 02, 2016",Missed 4 games (lower body injury).,JORDIE,BENN,MONTREAL,CANADIENS
"Jan 18, 2016","Lower body injury, injured reserve.",JORDIE,BENN,MONTREAL,CANADIENS
"Jan 15, 2016",Missed 2 games (lower body injury).,JORDIE,BENN,MONTREAL,CANADIENS
"Jan 07, 2016","Lower body injury, day-to-day.",JORDIE,BENN,MONTREAL,CANADIENS
"Nov 24, 2015",Missed 1 game (illness).,JORDIE,BENN,MONTREAL,CANADIENS
"Nov 21, 2015","Illness, day-to-day.",JORDIE,BENN,MONTREAL,CANADIENS
"Apr 04, 2015",Missed 3 games (back injury).,JORDIE,BENN,MONTREAL,CANADIENS
"Mar 28, 2015","Back injury, day-to-day.",JORDIE,BENN,MONTREAL,CANADIENS
"Dec 21, 2014",Missed 1 game (flu).,JORDIE,BENN,MONTREAL,CANADIENS
"Dec 19, 2014","Flu, day-to-day.",JORDIE,BENN,MONTREAL,CANADIENS
"Jul 03, 2013",Re-signed by the Dallas Stars to a three-year contract.,JORDIE,BENN,MONTREAL,CANADIENS
"Apr 28, 2013",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Apr 08, 2013",Recalled from Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Apr 03, 2013",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Feb 18, 2013",Recalled from Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Feb 04, 2013",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Jan 13, 2013",Recalled from Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Sep 14, 2012",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Jul 25, 2012",Re-signed as a restricted free agent by the Dallas Stars to a one-year contract.,JORDIE,BENN,MONTREAL,CANADIENS
"Jun 18, 2012",Dallas Stars tendered a qualifying offer.,JORDIE,BENN,MONTREAL,CANADIENS
"Apr 08, 2012",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Apr 06, 2012",Recalled from Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Apr 02, 2012",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Mar 12, 2012",Recalled from Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Jan 11, 2012",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Jan 01, 2012",Recalled from Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Sep 28, 2011",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Jul 10, 2011",Signed as a free agent by the Dallas Stars to a one-year contract.,JORDIE,BENN,MONTREAL,CANADIENS
"Sep 26, 2010",Assigned to Texas (AHL).,JORDIE,BENN,MONTREAL,CANADIENS
"Sep 16, 2010",Invited to training camp by the Dallas Stars.,JORDIE,BENN,MONTREAL,CANADIENS
