Date,Injury,Firstname,Lastname,City,TeamName
"Feb 20, 2018",Missed 15 games (concussion).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Feb 03, 2018","Concussion, injured reserve.",PHILLIP,DANAULT,MONTREAL,CANADIENS
"Jan 15, 2018","Concussion, sidelined indefinitely.",PHILLIP,DANAULT,MONTREAL,CANADIENS
"Jul 05, 2016",Re-signed as a restricted free agent by the Montreal Canadiens to a two-year contract.,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Jun 27, 2016",Montreal Canadiens tendered a qualifying offer.,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Feb 26, 2016",Acquired from the Chicago Blackhawks.,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Dec 18, 2015",Recalled from the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Nov 30, 2015",Assigned to the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Nov 30, 2015",Missed 24 games (hip injury).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Oct 06, 2015","Hip injury, injured reserve.",PHILLIP,DANAULT,MONTREAL,CANADIENS
"May 19, 2015",Recalled from the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Nov 24, 2014",Assigned to the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Nov 21, 2014",Recalled from the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Sep 26, 2014",Assigned to the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"May 09, 2014",Assigned to the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Apr 21, 2014",Recalled from the Rockford IceHogs (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Sep 24, 2013",Assigned to Rockford (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Mar 31, 2013",Re-assigned to Rockford (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Sep 15, 2012",Returned to his junior team (Victoriaville-QMJHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Mar 30, 2012",Re-assigned to Rockford (AHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Jan 02, 2012",Signed by the Chicago Blackhawks to a three-year entry-level contract.,PHILLIP,DANAULT,MONTREAL,CANADIENS
"Sep 21, 2011",Returned to his junior team (Victoriaville-QMJHL).,PHILLIP,DANAULT,MONTREAL,CANADIENS
