Date,Injury,Firstname,Lastname,City,TeamName
"Feb 20, 2018",Missed 1 game (undisclosed).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Feb 19, 2018",Signed by the Montreal Canadiens to a two-year contract extension.,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Feb 17, 2018","Undisclosed, day-to-day.",NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Nov 16, 2017",Recalled from the Laval Rocket (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Oct 04, 2017",Acquired from the Buffalo Sabres.,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Oct 04, 2017",Assigned to the Laval Rocket (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Sep 30, 2017",Placed on waivers by the Buffalo Sabres for the purpose of being assigned to the Rochester Americans (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Dec 09, 2016",Missed 19 games (knee injury).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Nov 09, 2016","Knee injury, injured reserve.",NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Oct 30, 2016","Knee injury, sidelined indefinitely.",NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Jun 20, 2016",Signed by the Buffalo Sabres to a two-year contract extension.,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Feb 02, 2016",Missed 11 games (lower body injury).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Jan 05, 2016","Lower body injury, injured reserve.",NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"May 26, 2014",Re-signed by the Buffalo Sabres to a two-year contract.,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Apr 15, 2014",Assigned to the Rochester Americans (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Apr 13, 2014",Recalled from the Rochester Americans (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Apr 09, 2014",Assigned to the Rochester Americans (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Apr 03, 2014",Missed 1 game (personal reasons).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Apr 01, 2014","Personal reasons, day-to-day.",NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Mar 07, 2014",Recalled from the Rochester Americans (AHL) on an emergency basis.,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Mar 05, 2014",Acquired from the Los Angeles Kings.,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Sep 21, 2013",Assigned to Manchester (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"May 09, 2013",Recalled from Manchester (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Sep 14, 2012",Assigned to Manchester (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Sep 25, 2011",Assigned to Manchester (AHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"May 31, 2011",Signed by the Los Angeles Kings to a three-year entry-level contract.,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Sep 24, 2010",Returned to his junior team (Gatineau-QMJHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
"Sep 16, 2009",Returned to his junior team (Rouyn-Noranda-QMJHL).,NICOLAS,DESLAURIERS,MONTREAL,CANADIENS
