Date,Injury,Firstname,Lastname,City,TeamName
"Dec 09, 2017",Missed 4 games (lower body injury).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 07, 2017","Flu, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 30, 2017","Lower body injury, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 11, 2017",Missed 1 game (upper body injury).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 09, 2017","Upper body injury, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Jun 15, 2017",Signed by the Montreal Canadiens to a six-year contract extension.,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Jun 15, 2017",Acquired from the Tampa Bay Lightning.,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Feb 25, 2017",Missed 1 game (flu).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Feb 23, 2017","Flu, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 08, 2016",Missed 1 game (undisclosed).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 04, 2016","Undisclosed, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 17, 2016",Missed 7 games (upper body injury).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 03, 2016","Upper body injury, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Apr 07, 2016",Recalled from the Syracuse Crunch (AHL).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Mar 07, 2016",Suspension lifted by the Tampa Bay Lightning.,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Jan 20, 2016",Suspended by the Tampa Bay Lightning indefinitely.,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Jan 02, 2016",Assigned to the Syracuse Crunch (AHL).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 29, 2015",Missed 8 games (lower body injury).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 20, 2015","Lower body injury, injured reserve.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 12, 2015","Lower body injury, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 02, 2015",Missed 6 games (undisclosed).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 19, 2015","Undisclosed, injured reserve.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 16, 2015","Undisclosed, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Nov 07, 2015",Missed 5 games (lower body injury).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Oct 29, 2015","Lower body injury, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Apr 23, 2015",Missed the last 3 playoff games (illness).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Apr 16, 2015","Illness, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 29, 2014",Missed 1 game (illness).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Dec 27, 2014","Illness, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Oct 20, 2014",Missed 5 games (fractured thumb).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Oct 19, 2014",Recalled from the Syracuse Crunch (AHL).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Oct 16, 2014",Assigned to the Syracuse Crunch (AHL) for conditioning purposes.,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Oct 07, 2014","Fractured thumb, day-to-day.",JONATHAN,DROUIN,MONTREAL,CANADIENS
"Sep 29, 2013",Returned to his junior team (Halifax-QMJHL).,JONATHAN,DROUIN,MONTREAL,CANADIENS
"Jul 05, 2013",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,JONATHAN,DROUIN,MONTREAL,CANADIENS
