Date,Injury,Firstname,Lastname,City,TeamName
"Jul 05, 2017",Re-signed as a restricted free agent by the Montreal Canadiens to a three-year contract.,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jun 26, 2017",Montreal Canadiens tendered a qualifying offer.,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Feb 01, 2017",Missed 3 games (knee injury).,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jan 31, 2017","Knee injury, injured reserve.",ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jan 23, 2017","Knee injury, day-to-day.",ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jan 14, 2017",Missed 18 games (lower body injury).,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Dec 08, 2016","Lower body injury, injured reserve.",ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Dec 05, 2016","Lower body injury, sidelined indefinitely.",ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jul 30, 2015",Re-signed as a restricted free agent by the Montreal Canadiens to a two-year contract.,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Feb 24, 2015",Missed 2 games (flu).,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Feb 19, 2015","Flu, day-to-day.",ALEX,GALCHENYUK,MONTREAL,CANADIENS
"May 19, 2014",Missed the last 2 regular season and first 12 playoff games (lower body injury).,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Apr 10, 2014","Lower body injury, sidelined indefinitely.",ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Feb 26, 2014",Missed 15 games (broken hand).,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jan 07, 2014","Broken hand, injured reserve.",ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jan 12, 2013",Recalled from Sarnia (OHL).,ALEX,GALCHENYUK,MONTREAL,CANADIENS
"Jul 23, 2012",Signed by the Montreal Canadiens to a three-year entry-level contract.,ALEX,GALCHENYUK,MONTREAL,CANADIENS
