Date,Injury,Firstname,Lastname,City,TeamName
"Nov 14, 2017",Claimed off waivers from the Florida Panthers.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Nov 13, 2017",Placed on waivers by the Florida Panthers.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Oct 24, 2017",Claimed off waivers from the Pittsburgh Penguins.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Oct 23, 2017",Placed on waivers by the Pittsburgh Penguins.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Jul 01, 2017",Signed as an unrestricted free agent by the Pittsburgh Penguins to a one-year contract.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Jun 26, 2017",Placed on waivers by the Dallas Stars for the purpose of buying him out.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Jun 29, 2015",Re-signed by the Dallas Stars to a three-year contract.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Jun 27, 2015",Acquired from the San Jose Sharks.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Oct 05, 2012",Signed with the Lahti Pelicans (Finland).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Feb 04, 2012",Missed 1 game (undisclosed).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Feb 02, 2012","Undisclosed, day-to-day.",ANTTI,NIEMI,MONTREAL,CANADIENS
"Oct 14, 2011",Missed 1 game (cyst surgery).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Oct 06, 2011","Cyst surgery, injured reserve.",ANTTI,NIEMI,MONTREAL,CANADIENS
"Mar 01, 2011",Re-signed by the San Jose Sharks to a four-year contract extension.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Sep 02, 2010",Signed as an unrestricted free agent by the San Jose Sharks to a one-year contract.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Aug 02, 2010",Chicago Blackhawks rejected contract awarded by salary arbitrator.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Jul 05, 2010",Filed for salary arbitration.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Feb 05, 2010",Missed 1 game (illness).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Feb 03, 2010","Illness, day-to-day.",ANTTI,NIEMI,MONTREAL,CANADIENS
"Jun 30, 2009",Re-signed by the Chicago Blackhawks.,ANTTI,NIEMI,MONTREAL,CANADIENS
"Apr 29, 2009",Recalled from Rockford (AHL).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Mar 11, 2009",Assigned to Rockford (AHL).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Feb 26, 2009",Recalled from Rockford (AHL).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Feb 25, 2009",Assigned to Rockford (AHL).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Feb 12, 2009",Recalled from Rockford (AHL).,ANTTI,NIEMI,MONTREAL,CANADIENS
"Oct 07, 2008",Assigned to Rockford (AHL).,ANTTI,NIEMI,MONTREAL,CANADIENS
"May 05, 2008",Signed as an unrestricted free agent by the Chicago Blackhawks.,ANTTI,NIEMI,MONTREAL,CANADIENS
