Date,Injury,Firstname,Lastname,City,TeamName
"Mar 03, 2018","Lower body injury, day-to-day.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Apr 17, 2015",Missed the last 2 regular season and first playoff games (upper body injury).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Apr 07, 2015","Upper body injury, day-to-day.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Nov 02, 2013",Missed 8 games (left hamstring injury).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Oct 21, 2013","Left hamstring injury, injured reserve.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Oct 17, 2013","Left hamstring injury, sidelined indefinitely.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Oct 09, 2013",Missed 1 game (left wrist injury).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Oct 05, 2013","Left wrist injury, day-to-day.",MAX,PACIORETTY,MONTREAL,CANADIENS
"May 05, 2013",Missed 1 game (upper body injury).,MAX,PACIORETTY,MONTREAL,CANADIENS
"May 03, 2013","Upper body injury, day-to-day.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Feb 03, 2013",Missed 4 games (appendectomy).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Jan 29, 2013","Appendectomy, injured reserve.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Jan 27, 2013","Appendectomy, sidelined indefinitely.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Sep 24, 2012",Signed with HC Ambri-Piotta (Switzerland).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Aug 13, 2012",Signed by the Montreal Canadiens to a six-year contract extension.,MAX,PACIORETTY,MONTREAL,CANADIENS
"Dec 06, 2011",Missed 3 games (suspended by nhl).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Nov 28, 2011",Suspended by the NHL for 3 games.,MAX,PACIORETTY,MONTREAL,CANADIENS
"Jun 20, 2011",Re-signed by the Montreal Canadiens to a two-year contract.,MAX,PACIORETTY,MONTREAL,CANADIENS
"Apr 27, 2011",Missed the last 15 games of the regular season and 7 playoff games (fractured vertebrae in neck).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Mar 12, 2011","Fractured vertebrae in neck, injured reserve.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Mar 10, 2011","Fractured vertebrae in neck, sidelined indefinitely.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Jan 21, 2011",Missed 0 games (rib injury).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Jan 19, 2011","Rib injury, sidelined indefinitely.",MAX,PACIORETTY,MONTREAL,CANADIENS
"Dec 12, 2010",Recalled from Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Oct 01, 2010",Assigned to Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Jan 24, 2010",Assigned to Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Mar 23, 2009",Assigned to Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Jan 01, 2009",Recalled from Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Dec 28, 2008",Assigned to Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Dec 26, 2008",Recalled from Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Oct 04, 2008",Assigned to Hamilton (AHL).,MAX,PACIORETTY,MONTREAL,CANADIENS
"Jul 17, 2008",Signed by the Montreal Canadiens to a three-year entry-level contract.,MAX,PACIORETTY,MONTREAL,CANADIENS
