Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Feb 19, 2018",Assigned to the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Feb 02, 2018",Recalled from the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Dec 10, 2017",Assigned to the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Dec 10, 2017",Missed 21 games (right knee surgery).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Oct 30, 2017","Right knee surgery, injured reserve.",NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Oct 28, 2017","Lower body injury, injured reserve.",NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Oct 22, 2017",Recalled from the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Sep 29, 2017",Assigned to the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Sep 28, 2017",Recalled from the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Sep 24, 2017",Assigned to the Laval Rocket (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Jan 13, 2017",Assigned to the St. John's IceCaps (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Jan 05, 2017",Recalled from the St. John's IceCaps (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Oct 03, 2016",Assigned to the St. John's IceCaps (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Sep 29, 2015",Assigned to the St. John's IceCaps (AHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Sep 28, 2014",Returned to his junior team (Everett Silvertips-WHL).,NIKITA,SCHERBAK,MONTREAL,CANADIENS
"Jul 21, 2014",Signed by the Montreal Canadiens to a three-year entry-level contract.,NIKITA,SCHERBAK,MONTREAL,CANADIENS
