Date,Injury,Firstname,Lastname,City,TeamName
"Feb 28, 2018",Signed by the Vancouver Canucks to a two-year contract extension.,ALEX,BIEGA,VANCOUVER,CANUCKS
"Nov 29, 2016",Recalled from his conditioning assignment with the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Nov 26, 2016",Assigned to the Utica Comets (AHL) for conditioning purposes.,ALEX,BIEGA,VANCOUVER,CANUCKS
"Mar 19, 2016",Missed 2 games (upper body injury).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Mar 15, 2016","Upper body injury, day-to-day.",ALEX,BIEGA,VANCOUVER,CANUCKS
"Feb 02, 2016",Signed by the Vancouver Canucks to a two-year contract extension.,ALEX,BIEGA,VANCOUVER,CANUCKS
"Dec 01, 2015",Recalled from the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Nov 13, 2015",Assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Nov 08, 2015",Recalled from the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Nov 05, 2015",Assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Oct 28, 2015",Recalled from the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Oct 07, 2015",Assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Oct 05, 2015",Placed on waivers by the Vancouver Canucks for the purpose of being assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Jun 30, 2015",Re-signed by the Vancouver Canucks to a one-year contract.,ALEX,BIEGA,VANCOUVER,CANUCKS
"Mar 03, 2015",Assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Mar 02, 2015",Assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Mar 02, 2015",Recalled from the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Feb 16, 2015",Recalled from the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Dec 26, 2014",Assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Dec 12, 2014",Recalled from the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Sep 29, 2014",Assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Sep 27, 2014",Placed on waivers by the Vancouver Canucks for the purpose of being assigned to the Utica Comets (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Jul 01, 2014",Re-signed as an unrestricted free agent by the Vancouver Canucks to a one-year contract.,ALEX,BIEGA,VANCOUVER,CANUCKS
"Sep 21, 2013",Assigned to Utica (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Jul 05, 2013",Signed as an unrestricted free agent by the Vancouver Canucks to a one-year contract.,ALEX,BIEGA,VANCOUVER,CANUCKS
"Sep 14, 2012",Assigned to Rochester (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Aug 06, 2012",Re-signed as a restricted free agent by the Buffalo Sabres to a one-year two-way contract.,ALEX,BIEGA,VANCOUVER,CANUCKS
"Sep 23, 2011",Assigned to Rochester (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"Sep 29, 2010",Assigned to Portland (AHL).,ALEX,BIEGA,VANCOUVER,CANUCKS
"May 21, 2010",Signed by the Buffalo Sabres to a two-year entry-level contract.,ALEX,BIEGA,VANCOUVER,CANUCKS
