Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the Vancouver Canucks to a two-year contract.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Feb 11, 2017",Missed 8 games (lower body injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 25, 2017","Lower body injury, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Nov 05, 2016",Missed 12 games (lower body injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Oct 14, 2016","Lower body injury, injured reserve.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Oct 07, 2016","Lower body injury, sidelined indefinitely.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Apr 24, 2016",Missed the last 27 regular season and all 6 playoff games (wrist surgery).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Feb 14, 2016","Upper body injury, injured reserve.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Feb 13, 2016","Upper body injury, sidelined indefinitely.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 01, 2016",Missed 2 games (upper body injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Dec 27, 2015","Upper body injury, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jul 16, 2015",Re-signed as a restricted free agent by the Philadelphia Flyers to a two-year contract.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jul 05, 2015",Filed for salary arbitration.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Mar 19, 2015",Missed 6 games (upper body injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Mar 08, 2015","Upper body injury, sidelined indefinitely.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Nov 22, 2014",Missed 1 game (lower body injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Nov 20, 2014","Lower body injury, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Aug 05, 2014",Signed as an unrestricted free agent by the Philadelphia Flyers to a one-year contract.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jun 30, 2014",Nashville Predators did not tender a qualifying offer.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 22, 2014",Acquired from the New York Rangers.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Oct 24, 2013",Missed 2 games (flu).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Oct 16, 2013","Flu, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Feb 28, 2013",Missed 2 games (lower body injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Feb 23, 2013","Lower body injury, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 13, 2013",Re-signed as a restricted free agent by the New York Rangers to a two-year contract.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Oct 31, 2012",Signed with the Rapperswil-Jona Lakers (Switzerland).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Mar 17, 2012",Missed 4 games (hip injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Mar 09, 2012","Hip injury, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Mar 04, 2012",Missed 1 game (bruised hip).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Mar 02, 2012","Bruised hip, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Dec 31, 2011","Fined $2,500 by the NHL.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Feb 26, 2011",Assigned to Connecticut (AHL).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 31, 2011",Recalled from Connecticut (AHL).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 26, 2011",Assigned to Connecticut (AHL).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 22, 2011",Recalled from Connecticut (AHL).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 03, 2011",Assigned to Connecticut (AHL).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Jan 02, 2011",Missed 3 games (groin).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Dec 29, 2010","Groin, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Dec 27, 2010",Missed 1 game (flu).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Dec 23, 2010","Flu, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Mar 04, 2010",Missed 2 games (chest injury).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Feb 14, 2010","Chest injury, day-to-day.",MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"May 26, 2009",Signed by the New York Rangers to an entry-level contract.,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
"Sep 25, 2008",Returned to his junior team (Oshawa-OHL).,MICHAEL,DEL ZOTTO,VANCOUVER,CANUCKS
