Date,Injury,Firstname,Lastname,City,TeamName
"Dec 08, 2017",Acquired from the Los Angeles Kings.,NIC,DOWD,VANCOUVER,CANUCKS
"Jan 31, 2017",Missed 3 games (lower body injury).,NIC,DOWD,VANCOUVER,CANUCKS
"Jan 23, 2017","Lower body injury, day-to-day.",NIC,DOWD,VANCOUVER,CANUCKS
"Jul 11, 2016",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,NIC,DOWD,VANCOUVER,CANUCKS
"Apr 12, 2016",Assigned to the Ontario Reign (AHL).,NIC,DOWD,VANCOUVER,CANUCKS
"Mar 22, 2016",Recalled from the Ontario Reign (AHL).,NIC,DOWD,VANCOUVER,CANUCKS
"Sep 26, 2015",Assigned to the Ontario Reign (AHL).,NIC,DOWD,VANCOUVER,CANUCKS
"Jul 16, 2015",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year contract.,NIC,DOWD,VANCOUVER,CANUCKS
"Sep 29, 2014",Assigned to the Manchester Monarchs (AHL).,NIC,DOWD,VANCOUVER,CANUCKS
"Apr 01, 2014",Signed by the Los Angeles Kings to a one-year entry-level contract.,NIC,DOWD,VANCOUVER,CANUCKS
