Date,Injury,Firstname,Lastname,City,TeamName
"Nov 09, 2017",Missed 12 games (sprained knee).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 17, 2017","Sprained knee, injured reserve.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 14, 2017","Sprained knee, sidelined indefinitely.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Dec 28, 2016",Missed 13 games (fractured finger).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 28, 2016","Fractured finger, injured reserve.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 07, 2016",Missed 1 game (upper body injury).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 04, 2016","Upper body injury, day-to-day.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Apr 09, 2016",Missed the last 29 regular season games (fibula).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Feb 10, 2016","Fibula, injured reserve.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 12, 2015",Missed 1 game (illness).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 10, 2015","Illness, day-to-day.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Mar 05, 2015",Missed 8 games (lower body injury).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Feb 19, 2015","Lower body injury, injured reserve.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Feb 16, 2015","Lower body injury, day-to-day.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Jan 13, 2014",Missed 16 games (lower body injury).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Dec 09, 2013","Lower body injury, injured reserve.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Dec 05, 2013","Lower body injury, sidelined indefinitely.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 11, 2013",Suspended by the NHL for 3 games.,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Mar 26, 2013",Missed 2 games (suspended by nhl).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Mar 22, 2013",Suspended by the NHL for 2 games.,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Jan 18, 2013",Signed by the Vancouver Canucks to a six-year contract extension.,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Apr 07, 2011",Missed 31 games (back surgery).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Feb 01, 2011","Back surgery, injured reserve.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Jan 26, 2011","Back spasms, day-to-day.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Dec 22, 2009",Missed 6 games (left arm injury).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Dec 10, 2009","Left arm injury, late December.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 19, 2008",Missed 2 games (flu).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 17, 2008","Flu, day-to-day.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 10, 2008",Signed by the Vancouver Canucks to a four-year contract extension.,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 15, 2007",Recalled from Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 10, 2007",Missed 2 games (hip injury) and assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Oct 04, 2007","Hip injury, day-to-day.",ALEXANDER,EDLER,VANCOUVER,CANUCKS
"May 02, 2007",Assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Apr 08, 2007",Recalled from Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Mar 27, 2007",Assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Mar 18, 2007",Recalled from Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Feb 12, 2007",Assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Feb 07, 2007",Recalled from Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Jan 20, 2007",Assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Jan 10, 2007",Recalled from Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Dec 14, 2006",Assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 24, 2006",Recalled from Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 15, 2006",Assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Nov 03, 2006",Recalled from Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Sep 28, 2006",Assigned to Manitoba (AHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Jul 24, 2006",Re-signed by the Vancouver Canucks.,ALEXANDER,EDLER,VANCOUVER,CANUCKS
"Sep 18, 2005",Returned to his junior team (Kelowna-WHL).,ALEXANDER,EDLER,VANCOUVER,CANUCKS
