Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018","Fractured ribs, injured reserve.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Feb 26, 2018","Upper body injury, day-to-day.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Nov 11, 2017",Missed 12 games (sprained knee).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Oct 17, 2017","Sprained knee, injured reserve.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Apr 09, 2017",Missed the last 17 regular season games (lower body injury).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Mar 07, 2017","Lower body injury, day-to-day.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jul 01, 2016",Signed as an unrestricted free agent by the Vancouver Canucks to a six-year contract.,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jan 10, 2015",Missed 1 game (bruised right hand).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jan 08, 2015","Bruised right hand, day-to-day.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Mar 06, 2014",Missed 1 game (heel injury).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Mar 04, 2014","Heel injury, day-to-day.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jan 11, 2014",Missed 15 games (concussion).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Dec 10, 2013","Concussion, injured reserve.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Dec 08, 2013","Concussion, day-to-day.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Nov 05, 2013",Missed 5 games (concussion).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Oct 24, 2013","Concussion, sidelined indefinitely.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jul 04, 2013",Acquired from the Dallas Stars.,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Dec 04, 2012",Signed with HC Davos (Switzerland).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Mar 23, 2011",Missed 2 games (head injury).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Mar 17, 2011","Head injury, day-to-day.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jan 24, 2011",Missed 1 game (flu).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jan 21, 2011","Flu, day-to-day.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Oct 02, 2009",Signed by the Dallas Stars to a six-year contract extension.,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jun 27, 2008",Re-signed by the Dallas Stars to a two-year contract.,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jun 26, 2008",Dallas Stars tendered a qualifying offer.,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Nov 16, 2007",Recalled from Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Nov 09, 2007",Assigned to Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Apr 24, 2007",Assigned to Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Nov 16, 2006",Recalled from Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Oct 05, 2006",Assigned to Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Sep 29, 2006",Recalled from Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Sep 27, 2006",Assigned to Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Sep 29, 2005",Assigned to Iowa (AHL).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Aug 24, 2005","Signed by the Dallas Stars to a three-year, entry-level contract.",LOUI,ERIKSSON,VANCOUVER,CANUCKS
"Jan 18, 2005",Loaned to the Bofors IK (Sweden-2).,LOUI,ERIKSSON,VANCOUVER,CANUCKS
