Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Utica Comets (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Feb 26, 2018",Recalled from the Utica Comets (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Feb 10, 2018",Recalled from the Utica Comets (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Jan 13, 2018",Assigned to the Utica Comets (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Nov 26, 2017",Recalled from the Utica Comets (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Sep 29, 2017",Assigned to the Utica Comets (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Apr 10, 2017",Assigned to the Utica Comets (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Mar 22, 2017",Missed 6 games (illness).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Mar 09, 2017","Illness, day-to-day.",NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Feb 28, 2017",Acquired from the San Jose Sharks.,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Feb 20, 2017",Assigned to the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Feb 15, 2017",Recalled from the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Oct 11, 2016",Assigned to the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"May 01, 2016",Recalled from the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Nov 23, 2015",Assigned to the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Nov 10, 2015",Recalled from the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Nov 08, 2015",Assigned to the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Nov 05, 2015",Recalled from the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Oct 21, 2015",Assigned to the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Oct 16, 2015",Recalled from the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Oct 05, 2015",Assigned to the San Jose Barracuda (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Apr 01, 2015",Re-assigned to the Worcester Sharks (AHL).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Oct 06, 2014",Assigned to the HIFK Helsinki (Fin).,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
"Sep 26, 2014",Signed by the San Jose Sharks to a three-year entry-level contract.,NIKOLAY,GOLDOBIN,VANCOUVER,CANUCKS
