Date,Injury,Firstname,Lastname,City,TeamName
"Feb 20, 2018",Signed by the Vancouver Canucks to a three-year contract extension.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Feb 01, 2018",Missed 5 games (back injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jan 20, 2018","Back injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Dec 19, 2017",Missed 12 games (upper body injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Dec 02, 2017","Upper body injury, injured reserve.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Nov 27, 2017","Upper body injury, sidelined indefinitely.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Nov 24, 2017","Upper body injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Oct 21, 2017",Missed 1 game (suspended by nhl).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Oct 20, 2017",Suspended by the NHL for 1 game.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Oct 20, 2017","Fined $18,817 by the NHL.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jun 15, 2017",Signed by the Vancouver Canucks to a one-year contract extension.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Apr 09, 2017",Missed the last 52 regular season games (wrist injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Dec 16, 2016","Wrist injury, injured reserve.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"May 25, 2016",Acquired from the Florida Panthers.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"May 09, 2016",Re-signed by the Florida Panthers to a one-year contract.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Apr 12, 2016",Missed the last 3 regular season games (upper body injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Apr 05, 2016","Upper body injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 31, 2016",Missed 7 games (lower body injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 15, 2016","Lower body injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Feb 25, 2016",Missed 8 games (undisclosed).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Feb 09, 2016","Undisclosed, injured reserve.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Feb 06, 2016","Undisclosed, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Apr 11, 2015",Missed the last regular season game (upper body injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Apr 11, 2015","Upper body injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 07, 2015",Missed 1 game (flu).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 05, 2015","Flu, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jan 09, 2015",Missed 3 games (upper body injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jan 02, 2015","Upper body injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jul 10, 2014",Re-signed as a restricted free agent by the Florida Panthers to a two-year contract.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jun 30, 2014",Florida Panthers tendered a qualifying offer.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 27, 2014",Missed 9 games (knee injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 11, 2014","Knee injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jan 06, 2014",Missed 5 games (orbital bone fracture).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Dec 27, 2013","Orbital bone fracture, injured reserve.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Dec 23, 2013","Orbital bone fracture, sidelined indefinitely.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Apr 27, 2013",Missed the last 5 regular season games (hand injury).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Apr 20, 2013","Hand injury, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 26, 2013",Missed 2 games (flu).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Mar 23, 2013","Flu, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Feb 05, 2013",Recalled from San Antonio (AHL).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jan 30, 2013",Assigned to San Antonio (AHL).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Nov 28, 2012",Suspended indefinitely by the Florida Panthers.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Dec 18, 2011",Missed 2 games (undisclosed).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Dec 13, 2011","Charley horse, day-to-day.",ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Jul 15, 2011",Signed by the Florida Panthers to a three-year entry level contract.,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
"Oct 05, 2010",Returned to his junior team (Kingston-OHL).,ERIK,GUDBRANSON,VANCOUVER,CANUCKS
