Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Columbus Blue Jackets.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Feb 25, 2018",Placed on waivers by the Columbus Blue Jackets.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jan 17, 2018",Claimed off waivers from the Los Angeles Kings.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jan 16, 2018",Placed on waivers by the Los Angeles Kings.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 14, 2017",Acquired from the Edmonton Oilers.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jul 07, 2017",Signed as an unrestricted free agent by the Edmonton Oilers to a one-year contract.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jun 30, 2017",Placed on waivers by the Florida Panthers for the purpose of buying him out.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Apr 09, 2017",Missed the last 3 regular season games (undisclosed).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Apr 05, 2017","Undisclosed, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 19, 2016",Missed 1 game (illness).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 17, 2016","Illness, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 10, 2016",Missed 9 games (knee injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 05, 2016","Knee injury, injured reserve.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Oct 22, 2016","Knee injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Mar 17, 2016",Missed 1 game (lower body injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Mar 15, 2016","Lower body injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Dec 01, 2014",Missed 1 game (flu).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 28, 2014","Flu, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jul 01, 2014",Signed as an unrestricted free agent by the Florida Panthers to a four-year contract.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Apr 06, 2014",Missed 1 game (upper body injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Apr 05, 2014","Upper body injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Apr 03, 2013",Acquired from the Carolina Hurricanes.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Mar 26, 2013",Placed on waivers by the Carolina Hurricanes.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Sep 17, 2012",Signed with Karpat Oulu (Finland).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 11, 2011",Missed 3 games (left leg injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Nov 04, 2011","Left leg injury, sidelined indefinitely.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jun 30, 2011",Re-signed by the Carolina Hurricanes to a three-year contract.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Feb 16, 2011",Missed 6 games (lower body injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Feb 03, 2011","Lower body injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jan 11, 2011",Missed 6 games (upper body injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Dec 29, 2010","Upper body injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Dec 07, 2009",Missed 1 game (lower body injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Dec 05, 2009","Lower body injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jun 29, 2009",Re-signed by the Carolina Hurricanes to a two-year contract.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Mar 11, 2009",Missed 4 games (personal reasons).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Mar 02, 2009","Personal reasons, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Feb 07, 2009",Acquired from the Tampa Bay Lightning.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Feb 26, 2008",Acquired from the Dallas Stars.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jan 24, 2008",Missed 13 games (knee injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Dec 30, 2007","Knee injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Aug 30, 2007",Re-signed as a restricted free agent by the Dallas Stars to a two-year contract.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Jun 25, 2007",Dallas Stars tendered a qualifying offer.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Apr 24, 2007","Missed Game 5, 6 and 7 of Round One against the Vancouver Canucks (upper body injury).",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Apr 19, 2007","Upper body injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Dec 14, 2005",Missed 1 game (lower body injury).,JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Dec 10, 2005","Lower body injury, day-to-day.",JUSSI,JOKINEN,VANCOUVER,CANUCKS
"Aug 24, 2005",Signed by the Dallas Stars to a two-year contract.,JUSSI,JOKINEN,VANCOUVER,CANUCKS
