Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Vegas Golden Knights.,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Jul 15, 2017",Re-signed as a restricted free agent by the Vegas Golden Knights to a two-year contract.,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Toronto Maple Leafs in the NHL Expansion Draft.,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Oct 08, 2016",Assigned to the Toronto Marlies (AHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Mar 06, 2016",Assigned to the Toronto Marlies (AHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Mar 03, 2016",Recalled from the Toronto Marlies (AHL) on an emergency basis.,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Feb 29, 2016",Assigned to the Toronto Marlies (AHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Feb 22, 2016",Recalled from the Toronto Marlies (AHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Feb 16, 2016",Assigned to the Toronto Marlies (AHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Feb 13, 2016",Recalled from the Toronto Marlies (AHL) on an emergency basis.,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Sep 23, 2015",Assigned to the Toronto Marlies (AHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Feb 15, 2015",Acquired from the Nashville Predators.,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Sep 28, 2014",Assigned to the Milwaukee Admirals (AHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"Sep 21, 2013",Returned to his junior team (Portland-WHL).,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
"May 22, 2013",Signed by the Nashville Predators to a three-year entry-level contract.,BRENDAN,LEIPSIC,VANCOUVER,CANUCKS
