Date,Injury,Firstname,Lastname,City,TeamName
"Nov 24, 2017",Missed 14 games (leg injury).,TROY,STECHER,VANCOUVER,CANUCKS
"Oct 23, 2017","Lower body injury, injured reserve.",TROY,STECHER,VANCOUVER,CANUCKS
"Mar 30, 2017",Missed 1 game (upper body injury).,TROY,STECHER,VANCOUVER,CANUCKS
"Mar 28, 2017","Upper body injury, day-to-day.",TROY,STECHER,VANCOUVER,CANUCKS
"Feb 28, 2017",Missed 1 game (mumps).,TROY,STECHER,VANCOUVER,CANUCKS
"Feb 25, 2017","Mumps, injured reserve.",TROY,STECHER,VANCOUVER,CANUCKS
"Nov 04, 2016",Recalled from the Utica Comets (AHL).,TROY,STECHER,VANCOUVER,CANUCKS
"Nov 02, 2016",Assigned to the Utica Comets (AHL).,TROY,STECHER,VANCOUVER,CANUCKS
"Oct 24, 2016",Recalled from the Utica Comets (AHL).,TROY,STECHER,VANCOUVER,CANUCKS
"Oct 10, 2016",Assigned to the Utica Comets (AHL).,TROY,STECHER,VANCOUVER,CANUCKS
"Apr 13, 2016",Signed as an undrafted free agent by the Vancouver Canucks to a two-year entry-level contract.,TROY,STECHER,VANCOUVER,CANUCKS
