Date,Injury,Firstname,Lastname,City,TeamName
"Jan 14, 2018",Missed 21 games (upper body injury).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Nov 26, 2017","Undisclosed, injured reserve.",BRANDON,SUTTER,VANCOUVER,CANUCKS
"Feb 16, 2017",Missed 1 game (undisclosed).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Feb 14, 2017","Undisclosed, day-to-day.",BRANDON,SUTTER,VANCOUVER,CANUCKS
"Apr 09, 2016",Missed the last 29 regular season games (broken jaw).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Feb 10, 2016","Broken jaw, injured reserve.",BRANDON,SUTTER,VANCOUVER,CANUCKS
"Jan 26, 2016",Missed 33 games (hernia).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Nov 21, 2015","Undisclosed, injured reserve.",BRANDON,SUTTER,VANCOUVER,CANUCKS
"Nov 12, 2015","Undisclosed, day-to-day.",BRANDON,SUTTER,VANCOUVER,CANUCKS
"Aug 04, 2015",Signed by the Vancouver Canucks to a five-year contract extension.,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Jul 28, 2015",Acquired from the Pittsburgh Penguins.,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Dec 27, 2014",Missed 2 games (illness).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Dec 22, 2014","Illness, day-to-day.",BRANDON,SUTTER,VANCOUVER,CANUCKS
"Aug 05, 2014",Re-signed as a restricted free agent by the Pittsburgh Penguins to a two-year contract.,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Jun 30, 2014",Pittsburgh Penguins tendered a qualifying offer.,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Jun 22, 2012",Acquired from the Carolina Hurricanes.,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Jul 13, 2011",Re-signed as a restricted free agent by the Carolina Hurricanes to a three-year contract.,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Mar 16, 2010",Missed 1 game (lower body injury).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Oct 24, 2009",Recalled from Albany (AHL).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Sep 27, 2009",Assigned to Albany (AHL).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Apr 13, 2009",Recalled from Albany (AHL).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Mar 16, 2009",Assigned to Albany (AHL).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Mar 09, 2009",Recalled from Albany (AHL).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Feb 25, 2009",Assigned to Albany (AHL).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Nov 12, 2008",Missed 8 games (concussion).,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Oct 28, 2008","Concussion, sidelined indefinitely.",BRANDON,SUTTER,VANCOUVER,CANUCKS
"Mar 26, 2008",Signed by the Carolina Hurricanes to a three-year entry level contract.,BRANDON,SUTTER,VANCOUVER,CANUCKS
"Sep 26, 2007",Returned to his junior team (Red Deer-WHL).,BRANDON,SUTTER,VANCOUVER,CANUCKS
